Group;Kontainer;Awal;Akhir;Ukuran;Harga;Periode;Status;Hari;DPP;Keterangan;QTY Disc;adjustment; Pembulatan ; ppn ; pph ;  grand_total  ;No.InvoiceVendor;Tgl.InvVendor;No.Bank;Tgl.Bank
1;CCLU3836629;21-01-2025;20-02-2025;20;750000;1;Bulanan;31;775000;;; -   ;; 85250 ; 15500 ; 844750 ;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;CCLU3836629;21-02-2025;20-03-2025;20;750000;2;Bulanan;28;700000;;; -   ;; 77000 ; 14000 ; 763000 ;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
