Group;Vendor;Nomor Kontainer;Size;Tanggal Awal;Tanggal Akhir;Periode;Masa;Tarif;Status;DPP;Adjustment;DPP Nilai Lain;PPN;PPH;Grand Total;Status Pranota;Pranota ID
5;DPE;CBHU5914130;20;23/05/2025;26/05/2025;5;Periode 5;Harian;ongoing;100000.00;0.00;91666.67;11000.00;2000.00;109000.00;included;37
1;DPE;CCLU3806500;20;22/01/2025;21/02/2025;1;Periode 1;Bulanan;ongoing;775000.00;0.00;710416.67;85250.00;15500.00;844750.00;included;33
2;DPE;CCLU3806500;20;22/02/2025;21/03/2025;2;Periode 2;Bulanan;ongoing;700000.00;0.00;641666.67;77000.00;14000.00;763000.00;included;34
3;DPE;CCLU3806500;20;22/03/2025;09/04/2025;3;Periode 3;Harian;ongoing;475000.00;0.00;435416.67;52250.00;9500.00;517750.00;included;35
1;DPE;CCLU3836629;20;21/01/2025;20/02/2025;1;Periode 1;Bulanan;ongoing;775000.00;0.00;710416.67;85250.00;15500.00;844750.00;included;33
2;DPE;CCLU3836629;20;21/02/2025;20/03/2025;2;Periode 2;Bulanan;ongoing;700000.00;0.00;641666.67;77000.00;14000.00;763000.00;included;34
3;DPE;CCLU3836629;20;21/03/2025;20/04/2025;3;Periode 3;Bulanan;ongoing;775000.00;0.00;710416.67;85250.00;15500.00;844750.00;included;35
4;DPE;CCLU3836629;20;21/04/2025;20/05/2025;4;Periode 4;Bulanan;ongoing;750000.00;0.00;687500.00;82500.00;15000.00;817500.00;included;36
5;DPE;CCLU3836629;20;21/05/2025;20/06/2025;5;Periode 5;Bulanan;ongoing;775000.00;0.00;710416.67;85250.00;15500.00;844750.00;included;37
6;DPE;CCLU3836629;20;21/06/2025;23/06/2025;6;Periode 6;Harian;ongoing;75000.00;0.00;68750.00;8250.00;1500.00;81750.00;included;38
1;DPE;CSLU1004045;20;23/01/2025;22/02/2025;1;Periode 1;Bulanan;ongoing;775000.00;0.00;710416.67;85250.00;15500.00;844750.00;included;33
2;DPE;CSLU1004045;20;23/02/2025;22/03/2025;2;Periode 2;Bulanan;ongoing;700000.00;0.00;641666.67;77000.00;14000.00;763000.00;included;34
3;DPE;CSLU1004045;20;23/03/2025;09/04/2025;3;Periode 3;Harian;ongoing;450000.00;0.00;412500.00;49500.00;9000.00;490500.00;included;35
1;DPE;CSLU1247770;20;24/01/2025;23/02/2025;1;Periode 1;Bulanan;ongoing;775000.00;0.00;710416.67;85250.00;15500.00;844750.00;included;33
2;DPE;CSLU1247770;20;24/02/2025;23/03/2025;2;Periode 2;Bulanan;ongoing;700000.00;0.00;641666.67;77000.00;14000.00;763000.00;included;34
3;DPE;CSLU1247770;20;24/03/2025;23/04/2025;3;Periode 3;Bulanan;ongoing;775000.00;0.00;710416.67;85250.00;15500.00;844750.00;included;35
4;DPE;CSLU1247770;20;24/04/2025;23/05/2025;4;Periode 4;Bulanan;ongoing;750000.00;0.00;687500.00;82500.00;15000.00;817500.00;included;36
5;DPE;CSLU1247770;20;24/05/2025;23/06/2025;5;Periode 5;Harian;ongoing;775000.00;0.00;710416.67;85250.00;15500.00;844750.00;included;37
1;DPE;CXDU1108080;20;24/01/2025;23/02/2025;1;Periode 1;Bulanan;ongoing;775000.00;0.00;710416.67;85250.00;15500.00;844750.00;included;33
2;DPE;CXDU1108080;20;24/02/2025;23/03/2025;2;Periode 2;Bulanan;ongoing;700000.00;0.00;641666.67;77000.00;14000.00;763000.00;included;34
3;DPE;CXDU1108080;20;24/03/2025;10/04/2025;3;Periode 3;Harian;ongoing;450000.00;0.00;412500.00;49500.00;9000.00;490500.00;included;35
1;DPE;DPEU4869769;20;22/01/2025;21/02/2025;1;Periode 1;Bulanan;ongoing;775000.00;0.00;710416.67;85250.00;15500.00;844750.00;included;33
2;DPE;DPEU4869769;20;22/02/2025;21/03/2025;2;Periode 2;Bulanan;ongoing;700000.00;0.00;641666.67;77000.00;14000.00;763000.00;included;34
3;DPE;DPEU4869769;20;22/03/2025;08/04/2025;3;Periode 3;Harian;ongoing;450000.00;0.00;412500.00;49500.00;9000.00;490500.00;included;35
9;DPE;RXTU4540180;40;04/03/2025;03/04/2025;1;Periode 1;Bulanan;ongoing;1500000.00;0.00;1375000.00;165000.00;30000.00;1635000.00;included;41
10;DPE;RXTU4540180;40;04/04/2025;03/05/2025;2;Periode 2;Bulanan;ongoing;1500000.00;0.00;1375000.00;165000.00;30000.00;1635000.00;included;42
11;DPE;RXTU4540180;40;04/05/2025;03/06/2025;3;Periode 3;Bulanan;ongoing;1500000.00;0.00;1375000.00;165000.00;30000.00;1635000.00;included;43
12;DPE;RXTU4540180;40;04/06/2025;03/07/2025;4;Periode 4;Bulanan;ongoing;1500000.00;0.00;1375000.00;165000.00;30000.00;1635000.00;included;44
13;DPE;RXTU4540180;40;04/07/2025;03/08/2025;5;Periode 5;Bulanan;ongoing;1500000.00;0.00;1375000.00;165000.00;30000.00;1635000.00;included;45
14;DPE;RXTU4540180;40;04/08/2025;03/09/2025;6;Periode 6;Bulanan;ongoing;1500000.00;0.00;1375000.00;165000.00;30000.00;1635000.00;included;46
15;DPE;RXTU4540180;40;04/09/2025;01/10/2025;7;Periode 7;Harian;ongoing;1500000.00;0.00;1375000.00;165000.00;30000.00;1635000.00;included;47
1;DPE;STXU2015218;20;22/01/2025;21/02/2025;1;Periode 1;Bulanan;ongoing;775000.00;0.00;710416.67;85250.00;15500.00;844750.00;included;33
2;DPE;STXU2015218;20;22/02/2025;21/03/2025;2;Periode 2;Bulanan;ongoing;700000.00;0.00;641666.67;77000.00;14000.00;763000.00;included;34
3;DPE;STXU2015218;20;22/03/2025;21/04/2025;3;Periode 3;Bulanan;ongoing;775000.00;0.00;710416.67;85250.00;15500.00;844750.00;included;35
4;DPE;STXU2015218;20;22/04/2025;21/05/2025;4;Periode 4;Bulanan;ongoing;750000.00;0.00;687500.00;82500.00;15000.00;817500.00;included;36
5;DPE;STXU2015218;20;22/05/2025;26/05/2025;5;Periode 5;Harian;ongoing;125000.00;0.00;114583.33;13750.00;2500.00;136250.00;included;37
