vendor;nomor_kontainer;size;tanggal_awal;tanggal_akhir;tarif;adjustment;group;status
ZONA;GESU4896815;40;2024-10-16;2024-11-15;1261261;0;Z18;ongoing
ZONA;GESU4735831;40;2024-11-16;2024-12-03;1261261;0;Z18;ongoing
ZONA;GESU4896815;40;2024-11-16;2024-12-15;1261261;0;Z18;ongoing
ZONA;GESU4896815;40;2024-12-16;2024-12-20;1261261;0;Z18;ongoing
ZONA;YELU5789666;40;2024-01-18;2024-02-17;1261261;0;Z20;ongoing
ZONA;YELU5789666;40;2024-02-18;2024-03-17;1261261;0;Z20;ongoing
ZONA;YELU5789666;40;2024-03-18;2024-04-17;1261261;-378378;Z20;ongoing
ZONA;YELU5789666;40;2024-04-18;2024-05-17;1261261;0;Z20;ongoing
ZONA;YELU5789666;40;2024-05-18;2024-06-17;1261261;0;Z20;ongoing
ZONA;YELU5789666;40;2024-06-18;2024-07-17;1261261;0;Z20;ongoing
ZONA;YELU5789666;40;2024-07-18;2024-08-17;1261261;0;Z20;ongoing
ZONA;YELU5789666;40;2024-08-18;2024-09-17;1261261;0;Z20;ongoing
ZONA;YELU5789666;40;2024-09-18;2024-10-17;1261261;0;Z20;ongoing
ZONA;YELU5789666;40;2024-10-18;2024-11-17;1261261;0;Z20;ongoing
ZONA;YELU5789666;40;2024-11-18;2024-12-03;1261261;0;Z20;ongoing
ZONA;CCLU7032547;40;2024-03-08;2024-04-07;1261261;-378378;Z23;ongoing
ZONA;CMAU1034669;20;2024-03-08;2024-04-07;675676;0;Z23;ongoing
ZONA;CPSU1828517;20;2024-03-08;2024-04-07;675676;0;Z23;ongoing
ZONA;CRSU1468543;20;2024-03-08;2024-04-07;675676;0;Z23;ongoing
ZONA;CRXU3112086;20;2024-03-08;2024-04-07;675676;0;Z23;ongoing
ZONA;DFSU2061565;20;2024-03-08;2024-04-07;675676;0;Z23;ongoing
ZONA;FCIU2541302;20;2024-03-08;2024-04-07;675676;0;Z23;ongoing
ZONA;GESU1345130;20;2024-03-08;2024-04-07;675676;0;Z23;ongoing
ZONA;GESU1426103;20;2024-03-08;2024-04-07;675676;0;Z23;ongoing
ZONA;GESU5114504;40;2024-03-08;2024-04-07;1261261;-378378;Z23;ongoing
ZONA;TGHU2383781;20;2024-03-08;2024-04-07;675676;0;Z23;ongoing
ZONA;CCLU7032547;40;2024-04-08;2024-04-24;1261261;0;Z23;ongoing
ZONA;CMAU1034669;20;2024-04-08;2024-05-07;675676;0;Z23;ongoing
ZONA;CPSU1828517;20;2024-04-08;2024-05-07;675676;0;Z23;ongoing
ZONA;CRSU1468543;20;2024-04-08;2024-05-07;675676;0;Z23;ongoing
ZONA;CRXU3112086;20;2024-04-08;2024-04-20;675676;0;Z23;ongoing
ZONA;DFSU2061565;20;2024-04-08;2024-05-07;675676;0;Z23;ongoing
ZONA;FCIU2541302;20;2024-04-08;2024-05-07;675676;0;Z23;ongoing
ZONA;GESU1345130;20;2024-04-08;2024-05-07;675676;0;Z23;ongoing
ZONA;GESU1426103;20;2024-04-08;2024-05-07;675676;0;Z23;ongoing
ZONA;GESU5114504;40;2024-04-08;2024-05-07;1261261;0;Z23;ongoing
ZONA;TGHU2383781;20;2024-04-08;2024-05-07;675676;0;Z23;ongoing
ZONA;CMAU1034669;20;2024-05-08;2024-06-07;675676;0;Z23;ongoing
ZONA;CPSU1828517;20;2024-05-08;2024-06-07;675676;0;Z23;ongoing
ZONA;CRSU1468543;20;2024-05-08;2024-06-07;675676;0;Z23;ongoing
ZONA;DFSU2061565;20;2024-05-08;2024-06-07;675676;0;Z23;ongoing
ZONA;FCIU2541302;20;2024-05-08;2024-06-07;675676;0;Z23;ongoing
ZONA;GESU1345130;20;2024-05-08;2024-06-07;675676;0;Z23;ongoing
ZONA;GESU1426103;20;2024-05-08;2024-06-07;675676;0;Z23;ongoing
ZONA;GESU5114504;40;2024-05-08;2024-06-07;1261261;0;Z23;ongoing
ZONA;TGHU2383781;20;2024-05-08;2024-06-07;675676;0;Z23;ongoing
ZONA;CMAU1034669;20;2024-06-08;2024-07-07;675676;0;Z23;ongoing
ZONA;CPSU1828517;20;2024-06-08;2024-07-07;675676;0;Z23;ongoing
ZONA;CRSU1468543;20;2024-06-08;2024-07-07;675676;0;Z23;ongoing
ZONA;DFSU2061565;20;2024-06-08;2024-07-07;675676;0;Z23;ongoing
ZONA;FCIU2541302;20;2024-06-08;2024-07-07;675676;0;Z23;ongoing
ZONA;GESU1345130;20;2024-06-08;2024-07-07;675676;0;Z23;ongoing
ZONA;GESU1426103;20;2024-06-08;2024-07-02;675676;0;Z23;ongoing
ZONA;GESU5114504;40;2024-06-08;2024-07-07;1261261;0;Z23;ongoing
ZONA;TGHU2383781;20;2024-06-08;2024-07-02;675676;0;Z23;ongoing
ZONA;CMAU1034669;20;2024-07-08;2024-07-29;675676;0;Z23;ongoing
ZONA;CPSU1828517;20;2024-07-08;2024-07-28;675676;0;Z23;ongoing
ZONA;CRSU1468543;20;2024-07-08;2024-07-28;675676;0;Z23;ongoing
ZONA;DFSU2061565;20;2024-07-08;2024-07-18;675676;0;Z23;ongoing
ZONA;FCIU2541302;20;2024-07-08;2024-07-28;675676;0;Z23;ongoing
ZONA;GESU1345130;20;2024-07-08;2024-07-08;675676;0;Z23;ongoing
ZONA;GESU5114504;40;2024-07-08;2024-08-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2024-08-08;2024-09-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2024-09-08;2024-10-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2024-10-08;2024-11-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2024-11-08;2024-12-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2024-12-08;2025-01-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2025-01-08;2025-02-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2025-02-08;2025-03-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2025-03-08;2025-04-07;1261261;-294294;Z23;ongoing
ZONA;GESU5114504;40;2025-04-08;2025-05-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2025-05-08;2025-06-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2025-06-08;2025-07-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2025-07-08;2025-08-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2025-08-08;2025-09-07;1261261;0;Z23;ongoing
ZONA;GESU5114504;40;2025-09-08;2025-09-24;1261261;0;Z23;ongoing
ZONA;BMOU4192536;40;2024-07-10;2024-08-09;1261261;0;Z04;ongoing
ZONA;BMOU4393401;40;2024-07-10;2024-08-09;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2024-08-10;2024-09-09;1261261;0;Z04;ongoing
ZONA;BMOU4393401;40;2024-08-10;2024-08-28;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2024-09-10;2024-10-09;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2024-10-10;2024-11-09;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2024-11-10;2024-12-09;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2024-12-10;2025-01-09;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2025-01-10;2025-02-09;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2025-02-10;2025-03-09;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2025-03-10;2025-04-09;1261261;-294294;Z04;ongoing
ZONA;BMOU4192536;40;2025-04-10;2025-05-09;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2025-05-10;2025-06-09;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2025-06-10;2025-07-09;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2025-07-10;2025-08-09;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2025-08-10;2025-09-09;1261261;0;Z04;ongoing
ZONA;BMOU4192536;40;2025-09-10;2025-09-24;1261261;0;Z04;ongoing
ZONA;MSKU4555445;40;2024-07-14;2024-08-13;1261261;0;Z06;ongoing
ZONA;TEXU5531307;40;2024-07-14;2024-08-13;1261261;0;Z06;ongoing
ZONA;MSKU4555445;40;2024-08-14;2024-09-13;1261261;0;Z06;ongoing
ZONA;TEXU5531307;40;2024-08-14;2024-09-13;1261261;0;Z06;ongoing
ZONA;MSKU4555445;40;2024-09-14;2024-10-13;1261261;0;Z06;ongoing
ZONA;TEXU5531307;40;2024-09-14;2024-10-13;1261261;0;Z06;ongoing
ZONA;MSKU4555445;40;2024-10-14;2024-11-13;1261261;0;Z06;ongoing
ZONA;TEXU5531307;40;2024-10-14;2024-11-13;1261261;0;Z06;ongoing
ZONA;MSKU4555445;40;2024-11-14;2024-12-13;1261261;0;Z06;ongoing
ZONA;TEXU5531307;40;2024-11-14;2024-12-13;1261261;0;Z06;ongoing
