"Awalan Kontainer";"Nomor Seri";Akhiran;Ukuran;Vendor
CCLU;399643;7;20;"PT. ZONA LINTAS SAMUDERA"
CCLU;624730;3;40;"PT. ZONA LINTAS SAMUDERA"
CCLU;703254;7;40;"PT. ZONA LINTAS SAMUDERA"
CCLU;711913;8;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;220233;6;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;220582;6;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221018;6;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221031;3;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221032;9;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221191;6;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221306;1;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221311;7;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221567;6;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221595;3;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221728;3;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221879;9;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221900;7;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221985;6;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;357042;2;20;"PT. ZONA LINTAS SAMUDERA"
CLHU;216940;8;20;"PT. ZONA LINTAS SAMUDERA"
CLHU;291251;3;20;"PT. ZONA LINTAS SAMUDERA"
CLHU;311564;3;20;"PT. ZONA LINTAS SAMUDERA"
CLHU;327225;7;20;"PT. ZONA LINTAS SAMUDERA"
CLHU;345767;2;20;"PT. ZONA LINTAS SAMUDERA"
CLHU;358685;4;20;"PT. ZONA LINTAS SAMUDERA"
CLHU;360223;5;20;"PT. ZONA LINTAS SAMUDERA"
CLHU;373311;1;20;"PT. ZONA LINTAS SAMUDERA"
CLHU;383696;9;20;"PT. ZONA LINTAS SAMUDERA"
CLHU;388082;7;20;"PT. ZONA LINTAS SAMUDERA"
CLHU;392517;7;20;"PT. ZONA LINTAS SAMUDERA"
CLHU;820776;3;40;"PT. ZONA LINTAS SAMUDERA"
CLHU;867366;9;40;"PT. ZONA LINTAS SAMUDERA"
CMAU;103466;9;20;"PT. ZONA LINTAS SAMUDERA"
CMAU;507011;3;40;"PT. ZONA LINTAS SAMUDERA"
CPSU;163682;8;20;"PT. ZONA LINTAS SAMUDERA"
CPSU;182851;7;20;"PT. ZONA LINTAS SAMUDERA"
CRSU;107609;6;20;"PT. ZONA LINTAS SAMUDERA"
CRSU;116256;9;20;"PT. ZONA LINTAS SAMUDERA"
CRSU;140966;4;20;"PT. ZONA LINTAS SAMUDERA"
CRSU;142179;9;20;"PT. ZONA LINTAS SAMUDERA"
CRSU;146854;3;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;109149;3;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;114312;8;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;117844;3;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;127771;8;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;128014;1;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;128057;9;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;129499;4;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;142697;7;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;143283;5;20;"PT. ZONA LINTAS SAMUDERA"
