"Awalan Kontainer";"Nomor Seri";Akhiran;Ukuran;Vendor
SEGU;141471;9;20;"PT. ZONA LINTAS SAMUDERA"
SIKU;294751;9;20;"PT. ZONA LINTAS SAMUDERA"
SNKU;200133;2;20;"PT. ZONA LINTAS SAMUDERA"
STXU;457790;8;40;"PT. ZONA LINTAS SAMUDERA"
TAHU;903327;3;20;"PT. ZONA LINTAS SAMUDERA"
TAKU;220370;4;20;"PT. ZONA LINTAS SAMUDERA"
TAKU;220387;2;20;"PT. ZONA LINTAS SAMUDERA"
TAKU;220728;7;20;"PT. ZONA LINTAS SAMUDERA"
TAKU;221852;7;20;"PT. ZONA LINTAS SAMUDERA"
TAKU;221937;5;20;"PT. ZONA LINTAS SAMUDERA"
TCKU;254289;2;20;"PT. ZONA LINTAS SAMUDERA"
TCKU;298284;4;20;"PT. ZONA LINTAS SAMUDERA"
TCKU;311096;6;20;"PT. ZONA LINTAS SAMUDERA"
TCLU;532821;7;40;"PT. ZONA LINTAS SAMUDERA"
TDRU;011181;3;20;"PT. ZONA LINTAS SAMUDERA"
TDRU;541989;8;40;"PT. ZONA LINTAS SAMUDERA"
TEMU;216275;2;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;224682;7;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;232669;2;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;236548;8;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;247156;1;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;262412;5;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;269496;6;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;269779;6;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;269899;8;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;270058;6;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;270352;2;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;270520;6;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;272251;7;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;273351;1;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;277518;4;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;278602;3;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;281581;5;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;281736;1;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;286344;9;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;286972;4;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;286993;5;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;300041;6;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;302877;4;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;508601;8;20;"PT. ZONA LINTAS SAMUDERA"
TEMU;633420;6;40;"PT. ZONA LINTAS SAMUDERA"
TEXU;353917;1;20;"PT. ZONA LINTAS SAMUDERA"
TEXU;356786;7;20;"PT. ZONA LINTAS SAMUDERA"
TEXU;377301;9;20;"PT. ZONA LINTAS SAMUDERA"
TEXU;379664;7;20;"PT. ZONA LINTAS SAMUDERA"
TEXU;381807;3;20;"PT. ZONA LINTAS SAMUDERA"
TEXU;553130;7;40;"PT. ZONA LINTAS SAMUDERA"
TGHU;011558;4;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;014909;6;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;033842;2;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;038718;1;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;041800;3;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;046680;3;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;085049;1;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;093306;6;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;124627;5;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;150199;8;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;151858;4;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;184584;3;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;184989;6;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;237129;2;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;238378;1;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;238464;3;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;252926;4;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;256946;2;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;272794;8;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;274016;9;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;278325;8;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;279464;8;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;289154;5;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;289432;8;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;302894;5;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;306725;8;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;311730;1;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;314508;9;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;322262;6;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;327431;6;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;335007;8;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;368892;8;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;381450;1;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;382710;8;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;390337;9;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;398894;6;20;"PT. ZONA LINTAS SAMUDERA"
TGHU;613047;8;40;"PT. ZONA LINTAS SAMUDERA"
TGHU;905747;3;40;"PT. ZONA LINTAS SAMUDERA"
TGHU;918891;4;40;"PT. ZONA LINTAS SAMUDERA"
TGHU;937774;9;40;"PT. ZONA LINTAS SAMUDERA"
TGHU;950896;2;40;"PT. ZONA LINTAS SAMUDERA"
TOLU;296774;8;20;"PT. ZONA LINTAS SAMUDERA"
TPNU;411010;4;40;"PT. ZONA LINTAS SAMUDERA"
TRIU;382319;7;20;"PT. ZONA LINTAS SAMUDERA"
TRLU;361057;6;20;"PT. ZONA LINTAS SAMUDERA"
TRLU;368018;8;20;"PT. ZONA LINTAS SAMUDERA"
TRLU;498705;5;40;"PT. ZONA LINTAS SAMUDERA"
TRLU;524262;1;40;"PT. ZONA LINTAS SAMUDERA"
TRLU;554810;2;40;"PT. ZONA LINTAS SAMUDERA"
TRLU;965718;5;20;"PT. ZONA LINTAS SAMUDERA"
TTNU;262438;6;20;"PT. ZONA LINTAS SAMUDERA"
TTNU;307328;8;20;"PT. ZONA LINTAS SAMUDERA"
TTNU;321694;3;20;"PT. ZONA LINTAS SAMUDERA"
TTNU;333306;6;20;"PT. ZONA LINTAS SAMUDERA"
TTNU;361967;7;20;"PT. ZONA LINTAS SAMUDERA"
TTNU;929576;5;40;"PT. ZONA LINTAS SAMUDERA"
UACU;340394;3;20;"PT. ZONA LINTAS SAMUDERA"
UESU;222305;9;20;"PT. ZONA LINTAS SAMUDERA"
UESU;231070;2;20;"PT. ZONA LINTAS SAMUDERA"
UESU;244900;4;20;"PT. ZONA LINTAS SAMUDERA"
UESU;468870;7;40;"PT. ZONA LINTAS SAMUDERA"
UGMU;858045;6;20;"PT. ZONA LINTAS SAMUDERA"
VGCU;288609;7;40;"PT. ZONA LINTAS SAMUDERA"
WFHU;124096;2;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;020160;2;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;024930;8;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;026801;5;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;027317;7;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;027402;3;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;028100;1;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;030090;3;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;031968;4;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;032131;5;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;032289;9;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;032376;6;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;034359;3;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;035218;9;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;037992;9;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;223488;4;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;241608;7;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;242054;9;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;242084;7;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;248367;6;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;275045;3;20;"PT. ZONA LINTAS SAMUDERA"
WHLU;285706;1;20;"PT. ZONA LINTAS SAMUDERA"
WSCU;162009;1;20;"PT. ZONA LINTAS SAMUDERA"
WSCU;938917;9;40;"PT. ZONA LINTAS SAMUDERA"
WSCU;962012;2;40;"PT. ZONA LINTAS SAMUDERA"
XINU;108566;2;20;"PT. ZONA LINTAS SAMUDERA"
XINU;108853;2;20;"PT. ZONA LINTAS SAMUDERA"
XINU;110173;7;20;"PT. ZONA LINTAS SAMUDERA"
XINU;152001;3;20;"PT. ZONA LINTAS SAMUDERA"
XINU;158334;6;20;"PT. ZONA LINTAS SAMUDERA"
XINU;813686;4;40;"PT. ZONA LINTAS SAMUDERA"
XXXU;215019;6;20;"PT. ZONA LINTAS SAMUDERA"
XXXU;990222;4;40;"PT. ZONA LINTAS SAMUDERA"
YELU;575995;4;40;"PT. ZONA LINTAS SAMUDERA"
YELU;578966;6;40;"PT. ZONA LINTAS SAMUDERA"
YMLU;278667;5;20;"PT. ZONA LINTAS SAMUDERA"
ZIMU;125464;7;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;020560;6;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;077317;7;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;191074;9;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;200424;3;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;220198;8;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;220329;7;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;220420;2;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;220720;1;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;220847;7;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;220991;4;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221096;7;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221177;3;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221220;8;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221329;5;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221335;4;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221416;6;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221425;8;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221427;4;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221430;3;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221451;4;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221458;2;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221572;7;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221631;3;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221647;7;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221734;4;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221747;3;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221795;8;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221810;3;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221819;2;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221836;1;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221851;1;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221864;4;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;221930;5;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;231724;5;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;239066;7;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;240088;8;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;262745;5;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;280758;3;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;284379;6;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;286233;9;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;287589;2;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;290112;3;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;293830;8;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;316376;5;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;325768;1;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;342316;4;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;357142;9;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;391138;1;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;529851;4;40;"PT. ZONA LINTAS SAMUDERA"
ZONA;606266;8;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;621034;1;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;695024;1;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;695150;7;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;695685;5;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;698779;3;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;765180;2;40;"PT. ZONA LINTAS SAMUDERA"
ZONA;807039;9;40;"PT. ZONA LINTAS SAMUDERA"
ZONA;807592;8;20;"PT. ZONA LINTAS SAMUDERA"
ZONA;901762;1;20;"PT. ZONA LINTAS SAMUDERA"
CBHU;395269;7;20;"PT. DEPO PETIKEMAS EXPRESSINDO"
CBHU;407776;4;20;"PT. DEPO PETIKEMAS EXPRESSINDO"
CBHU;587632;2;20;"PT. DEPO PETIKEMAS EXPRESSINDO"
CBHU;591144;4;20;"PT. DEPO PETIKEMAS EXPRESSINDO"
CCLU;383662;9;20;"PT. DEPO PETIKEMAS EXPRESSINDO"
CSLU;100404;5;20;"PT. DEPO PETIKEMAS EXPRESSINDO"
DPEU;486976;9;20;"PT. DEPO PETIKEMAS EXPRESSINDO"
STXU;201521;8;20;"PT. DEPO PETIKEMAS EXPRESSINDO"
