Awalan Kontainer;Nomor Seri;Akhiran;Ukuran;Vendor;Nomor Kontainer;
IPXU;333897;0;20;PT. ZONA LINTAS SAMUDERA;3338970;
IPXU;369545;2;20;PT. ZONA LINTAS SAMUDERA;3695452;
IRNU;150873;0;20;PT. ZONA LINTAS SAMUDERA;1508730;
IRNU;361319;1;20;PT. ZONA LINTAS SAMUDERA;3613191;
IRNU;363342;8;20;PT. ZONA LINTAS SAMUDERA;3633428;
IRNU;366445;5;20;PT. ZONA LINTAS SAMUDERA;3664455;
IRNU;367002;0;20;PT. ZONA LINTAS SAMUDERA;3670020;
IRNU;368123;6;20;PT. ZONA LINTAS SAMUDERA;3681236;
IRNU;369225;1;20;PT. ZONA LINTAS SAMUDERA;3692251;
JAYU;109116;4;20;PT. ZONA LINTAS SAMUDERA;1091164;
JHSU;259384;4;20;PT. ZONA LINTAS SAMUDERA;2593844;
KCSU;216636;1;20;PT. ZONA LINTAS SAMUDERA;2166361;
KDCU;216661;2;20;PT. ZONA LINTAS SAMUDERA;2166612;
KDCU;217061;2;20;PT. ZONA LINTAS SAMUDERA;2170612;
KDCU;217067;5;20;PT. ZONA LINTAS SAMUDERA;2170675;
KDCU;217116;2;20;PT. ZONA LINTAS SAMUDERA;2171162;
KDCU;217120;2;20;PT. ZONA LINTAS SAMUDERA;2171202;
KDCU;217196;4;20;PT. ZONA LINTAS SAMUDERA;2171964;
KDCU;217225;6;20;PT. ZONA LINTAS SAMUDERA;2172256;
KKFU;712038;8;40;PT. ZONA LINTAS SAMUDERA;7120388;
KKTU;752733;6;20;PT. ZONA LINTAS SAMUDERA;7527336;
KKTU;769330;0;20;PT. ZONA LINTAS SAMUDERA;7693300;
KMTU;723594;1;20;PT. ZONA LINTAS SAMUDERA;7235941;
KMTU;735343;5;20;PT. ZONA LINTAS SAMUDERA;7353435;
LGEU;388026;0;20;PT. ZONA LINTAS SAMUDERA;3880260;
LTIU;239236;3;20;PT. ZONA LINTAS SAMUDERA;2392363;
MAEU;681096;3;20;PT. ZONA LINTAS SAMUDERA;6810963;
MAEU;695787;2;20;PT. ZONA LINTAS SAMUDERA;6957872;
MAEU;695804;0;20;PT. ZONA LINTAS SAMUDERA;6958040;
MAEU;698769;2;20;PT. ZONA LINTAS SAMUDERA;6987692;
MAGU;213327;0;20;PT. ZONA LINTAS SAMUDERA;2133270;
MEDU;824603;5;40;PT. ZONA LINTAS SAMUDERA;8246035;
MEDU;826978;7;40;PT. ZONA LINTAS SAMUDERA;8269787;
MEDU;838432;7;40;PT. ZONA LINTAS SAMUDERA;8384327;
MLCU;246529;5;20;PT. ZONA LINTAS SAMUDERA;2465295;
MLCU;249417;0;20;PT. ZONA LINTAS SAMUDERA;2494170;
MLCU;299342;0;20;PT. ZONA LINTAS SAMUDERA;2993420;
MLCU;300481;0;20;PT. ZONA LINTAS SAMUDERA;3004810;
MLCU;340008;8;20;PT. ZONA LINTAS SAMUDERA;3400088;
MOAU;583356;4;20;PT. ZONA LINTAS SAMUDERA;5833564;
MOMU;220622;1;20;PT. ZONA LINTAS SAMUDERA;2206221;
MOTU;074554;9;20;PT. ZONA LINTAS SAMUDERA;0745549;
MOTU;074582;6;20;PT. ZONA LINTAS SAMUDERA;0745826;
MRLU;227806;0;20;PT. ZONA LINTAS SAMUDERA;2278060;
MSCU;321368;6;20;PT. ZONA LINTAS SAMUDERA;3213686;
MSCU;323325;5;20;PT. ZONA LINTAS SAMUDERA;3233255;
MSCU;380605;9;20;PT. ZONA LINTAS SAMUDERA;3806059;
MSCU;690967;8;20;PT. ZONA LINTAS SAMUDERA;6909678;
MSCU;708512;0;40;PT. ZONA LINTAS SAMUDERA;7085120;
MSCU;719674;0;40;PT. ZONA LINTAS SAMUDERA;7196740;
MSCU;879849;1;40;PT. ZONA LINTAS SAMUDERA;8798491;
MSCU;990379;7;40;PT. ZONA LINTAS SAMUDERA;9903797;
MSKU;201655;2;20;PT. ZONA LINTAS SAMUDERA;2016552;
MSKU;208471;0;20;PT. ZONA LINTAS SAMUDERA;2084710;
MSKU;211073;8;20;PT. ZONA LINTAS SAMUDERA;2110738;
MSKU;214061;9;20;PT. ZONA LINTAS SAMUDERA;2140619;
MSKU;215823;8;20;PT. ZONA LINTAS SAMUDERA;2158238;
MSKU;219713;1;20;PT. ZONA LINTAS SAMUDERA;2197131;
MSKU;221530;1;20;PT. ZONA LINTAS SAMUDERA;2215301;
MSKU;221809;1;20;PT. ZONA LINTAS SAMUDERA;2218091;
MSKU;230233;0;20;PT. ZONA LINTAS SAMUDERA;2302330;
MSKU;243911;1;20;PT. ZONA LINTAS SAMUDERA;2439111;
MSKU;246589;3;20;PT. ZONA LINTAS SAMUDERA;2465893;
MSKU;248412;6;20;PT. ZONA LINTAS SAMUDERA;2484126;
MSKU;253623;5;20;PT. ZONA LINTAS SAMUDERA;2536235;
MSKU;254966;0;20;PT. ZONA LINTAS SAMUDERA;2549660;
MSKU;258279;7;20;PT. ZONA LINTAS SAMUDERA;2582797;
MSKU;265008;4;20;PT. ZONA LINTAS SAMUDERA;2650084;
MSKU;278309;2;20;PT. ZONA LINTAS SAMUDERA;2783092;
MSKU;286212;3;20;PT. ZONA LINTAS SAMUDERA;2862123;
MSKU;300123;8;20;PT. ZONA LINTAS SAMUDERA;3001238;
MSKU;301281;8;20;PT. ZONA LINTAS SAMUDERA;3012818;
MSKU;304195;0;20;PT. ZONA LINTAS SAMUDERA;3041950;
MSKU;343891;1;20;PT. ZONA LINTAS SAMUDERA;3438911;
MSKU;455544;5;40;PT. ZONA LINTAS SAMUDERA;4555445;
MSKU;914741;0;40;PT. ZONA LINTAS SAMUDERA;9147410;
NONU;838495;0;40;PT. ZONA LINTAS SAMUDERA;8384950;
NYKU;255829;0;20;PT. ZONA LINTAS SAMUDERA;2558290;
NYKU;551588;0;40;PT. ZONA LINTAS SAMUDERA;5515880;
NYKU;562023;5;40;PT. ZONA LINTAS SAMUDERA;5620235;
NYKU;562205;3;40;PT. ZONA LINTAS SAMUDERA;5622053;
NYKU;697377;2;40;PT. ZONA LINTAS SAMUDERA;6973772;
OOLU;116374;0;20;PT. ZONA LINTAS SAMUDERA;1163740;
OOLU;119216;3;20;PT. ZONA LINTAS SAMUDERA;1192163;
OOLU;121350;1;20;PT. ZONA LINTAS SAMUDERA;1213501;
OOLU;127758;0;20;PT. ZONA LINTAS SAMUDERA;1277580;
OOLU;127835;4;20;PT. ZONA LINTAS SAMUDERA;1278354;
OOLU;131718;9;20;PT. ZONA LINTAS SAMUDERA;1317189;
OOLU;133473;5;20;PT. ZONA LINTAS SAMUDERA;1334735;
OOLU;134068;2;20;PT. ZONA LINTAS SAMUDERA;1340682;
OOLU;134476;0;20;PT. ZONA LINTAS SAMUDERA;1344760;
OOLU;137533;3;20;PT. ZONA LINTAS SAMUDERA;1375333;
OOLU;140861;1;20;PT. ZONA LINTAS SAMUDERA;1408611;
OOLU;141230;8;20;PT. ZONA LINTAS SAMUDERA;1412308;
OOLU;144663;2;20;PT. ZONA LINTAS SAMUDERA;1446632;
OOLU;145327;2;20;PT. ZONA LINTAS SAMUDERA;1453272;
OOLU;148678;5;20;PT. ZONA LINTAS SAMUDERA;1486785;
OOLU;152986;6;20;PT. ZONA LINTAS SAMUDERA;1529866;
OOLU;153665;4;20;PT. ZONA LINTAS SAMUDERA;1536654;
OOLU;153943;7;20;PT. ZONA LINTAS SAMUDERA;1539437;
OOLU;157649;3;20;PT. ZONA LINTAS SAMUDERA;1576493;
OOLU;158518;1;20;PT. ZONA LINTAS SAMUDERA;1585181;
OOLU;161241;4;20;PT. ZONA LINTAS SAMUDERA;1612414;
OOLU;162995;2;20;PT. ZONA LINTAS SAMUDERA;1629952;
OOLU;169435;1;20;PT. ZONA LINTAS SAMUDERA;1694351;
OOLU;171102;1;20;PT. ZONA LINTAS SAMUDERA;1711021;
OOLU;173112;0;20;PT. ZONA LINTAS SAMUDERA;1731120;
OOLU;174067;3;20;PT. ZONA LINTAS SAMUDERA;1740673;
OOLU;368729;0;20;PT. ZONA LINTAS SAMUDERA;3687290;
PCIU;231546;0;20;PT. ZONA LINTAS SAMUDERA;2315460;
PCIU;257382;4;20;PT. ZONA LINTAS SAMUDERA;2573824;
PCIU;275208;0;20;PT. ZONA LINTAS SAMUDERA;2752080;
PCIU;285467;3;20;PT. ZONA LINTAS SAMUDERA;2854673;
PCIU;289848;1;20;PT. ZONA LINTAS SAMUDERA;2898481;
PCIU;305634;3;20;PT. ZONA LINTAS SAMUDERA;3056343;
PCIU;306461;0;20;PT. ZONA LINTAS SAMUDERA;3064610;
PCIU;361923;6;20;PT. ZONA LINTAS SAMUDERA;3619236;
PCIU;935876;3;20;PT. ZONA LINTAS SAMUDERA;9358763;
PCIU;976581;3;40;PT. ZONA LINTAS SAMUDERA;9765813;
PKEU;502823;2;40;PT. ZONA LINTAS SAMUDERA;5028232;
PKEU;503397;0;40;PT. ZONA LINTAS SAMUDERA;5033970;
PONU;011169;5;20;PT. ZONA LINTAS SAMUDERA;0111695;
PONU;023176;7;20;PT. ZONA LINTAS SAMUDERA;0231767;
PONU;029115;4;20;PT. ZONA LINTAS SAMUDERA;0291154;
PONU;050218;0;20;PT. ZONA LINTAS SAMUDERA;0502180;
PONU;095517;1;20;PT. ZONA LINTAS SAMUDERA;0955171;
PONU;722570;3;40;PT. ZONA LINTAS SAMUDERA;7225703;
PRSU;216286;4;20;PT. ZONA LINTAS SAMUDERA;2162864;
PRSU;960163;4;40;PT. ZONA LINTAS SAMUDERA;9601634;
REGU;307785;3;20;PT. ZONA LINTAS SAMUDERA;3077853;
REGU;504366;2;40;PT. ZONA LINTAS SAMUDERA;5043662;
RPLU;200749;6;20;PT. ZONA LINTAS SAMUDERA;2007496;
SCMU;208220;4;20;PT. ZONA LINTAS SAMUDERA;2082204;
SCZU;567249;0;40;PT. ZONA LINTAS SAMUDERA;5672490;
SCZU;798085;0;20;PT. ZONA LINTAS SAMUDERA;7980850;
SCZU;824155;7;20;PT. ZONA LINTAS SAMUDERA;8241557;
SEGU;100314;8;20;PT. ZONA LINTAS SAMUDERA;1003148;
SEGU;102148;1;20;PT. ZONA LINTAS SAMUDERA;1021481;
SEGU;102877;9;20;PT. ZONA LINTAS SAMUDERA;1028779;
SEGU;141037;5;20;PT. ZONA LINTAS SAMUDERA;1410375;
SEGU;141471;9;20;PT. ZONA LINTAS SAMUDERA;1414719;
SEGU;287817;0;20;PT. ZONA LINTAS SAMUDERA;2878170;
SIKU;294751;9;20;PT. ZONA LINTAS SAMUDERA;2947519;
SNKU;200133;2;20;PT. ZONA LINTAS SAMUDERA;2001332;
STXU;457790;8;40;PT. ZONA LINTAS SAMUDERA;4577908;
TAHU;903327;3;20;PT. ZONA LINTAS SAMUDERA;9033273;
TAKU;220370;4;20;PT. ZONA LINTAS SAMUDERA;2203704;
TAKU;220387;2;20;PT. ZONA LINTAS SAMUDERA;2203872;
TAKU;220535;0;20;PT. ZONA LINTAS SAMUDERA;2205350;
TAKU;220728;7;20;PT. ZONA LINTAS SAMUDERA;2207287;
TAKU;221733;0;20;PT. ZONA LINTAS SAMUDERA;2217330;
TAKU;221852;7;20;PT. ZONA LINTAS SAMUDERA;2218527;
TAKU;221937;5;20;PT. ZONA LINTAS SAMUDERA;2219375;
TCKU;254289;2;20;PT. ZONA LINTAS SAMUDERA;2542892;
TCKU;298284;4;20;PT. ZONA LINTAS SAMUDERA;2982844;
TCKU;311096;6;20;PT. ZONA LINTAS SAMUDERA;3110966;
TCLU;532821;7;40;PT. ZONA LINTAS SAMUDERA;5328217;
TDRU;011181;3;20;PT. ZONA LINTAS SAMUDERA;0111813;
TDRU;227521;0;20;PT. ZONA LINTAS SAMUDERA;2275210;
TDRU;541989;8;40;PT. ZONA LINTAS SAMUDERA;5419898;
TDRU;612434;0;40;PT. ZONA LINTAS SAMUDERA;6124340;
TEMU;210873;0;20;PT. ZONA LINTAS SAMUDERA;2108730;
TEMU;216275;2;20;PT. ZONA LINTAS SAMUDERA;2162752;
TEMU;224682;7;20;PT. ZONA LINTAS SAMUDERA;2246827;
TEMU;225472;0;20;PT. ZONA LINTAS SAMUDERA;2254720;
TEMU;232669;2;20;PT. ZONA LINTAS SAMUDERA;2326692;
TEMU;235377;0;20;PT. ZONA LINTAS SAMUDERA;2353770;
TEMU;236548;8;20;PT. ZONA LINTAS SAMUDERA;2365488;
TEMU;247156;1;20;PT. ZONA LINTAS SAMUDERA;2471561;
TEMU;262412;5;20;PT. ZONA LINTAS SAMUDERA;2624125;
TEMU;266650;0;20;PT. ZONA LINTAS SAMUDERA;2666500;
TEMU;269496;6;20;PT. ZONA LINTAS SAMUDERA;2694966;
TEMU;269725;0;20;PT. ZONA LINTAS SAMUDERA;2697250;
TEMU;269779;6;20;PT. ZONA LINTAS SAMUDERA;2697796;
TEMU;269899;8;20;PT. ZONA LINTAS SAMUDERA;2698998;
TEMU;270058;6;20;PT. ZONA LINTAS SAMUDERA;2700586;
TEMU;270352;2;20;PT. ZONA LINTAS SAMUDERA;2703522;
TEMU;270520;6;20;PT. ZONA LINTAS SAMUDERA;2705206;
TEMU;272251;7;20;PT. ZONA LINTAS SAMUDERA;2722517;
TEMU;273351;1;20;PT. ZONA LINTAS SAMUDERA;2733511;
TEMU;274007;0;20;PT. ZONA LINTAS SAMUDERA;2740070;
TEMU;277518;4;20;PT. ZONA LINTAS SAMUDERA;2775184;
TEMU;278602;3;20;PT. ZONA LINTAS SAMUDERA;2786023;
TEMU;281581;5;20;PT. ZONA LINTAS SAMUDERA;2815815;
TEMU;281736;1;20;PT. ZONA LINTAS SAMUDERA;2817361;
TEMU;286344;9;20;PT. ZONA LINTAS SAMUDERA;2863449;
TEMU;286972;4;20;PT. ZONA LINTAS SAMUDERA;2869724;
TEMU;286993;5;20;PT. ZONA LINTAS SAMUDERA;2869935;
TEMU;300041;6;20;PT. ZONA LINTAS SAMUDERA;3000416;
TEMU;302877;4;20;PT. ZONA LINTAS SAMUDERA;3028774;
TEMU;376989;0;20;PT. ZONA LINTAS SAMUDERA;3769890;
TEMU;508601;8;20;PT. ZONA LINTAS SAMUDERA;5086018;
TEMU;633420;6;40;PT. ZONA LINTAS SAMUDERA;6334206;
TEXU;353917;1;20;PT. ZONA LINTAS SAMUDERA;3539171;
TEXU;356786;7;20;PT. ZONA LINTAS SAMUDERA;3567867;
TEXU;377301;9;20;PT. ZONA LINTAS SAMUDERA;3773019;
TEXU;379664;7;20;PT. ZONA LINTAS SAMUDERA;3796647;
TEXU;381807;3;20;PT. ZONA LINTAS SAMUDERA;3818073;
TEXU;399971;0;20;PT. ZONA LINTAS SAMUDERA;3999710;
TEXU;553130;7;40;PT. ZONA LINTAS SAMUDERA;5531307;
TEXU;721023;0;40;PT. ZONA LINTAS SAMUDERA;7210230;
TGHU;011558;4;20;PT. ZONA LINTAS SAMUDERA;0115584;
TGHU;014909;6;20;PT. ZONA LINTAS SAMUDERA;0149096;
TGHU;033842;2;20;PT. ZONA LINTAS SAMUDERA;0338422;
TGHU;038718;1;20;PT. ZONA LINTAS SAMUDERA;0387181;
TGHU;041800;3;20;PT. ZONA LINTAS SAMUDERA;0418003;
TGHU;046680;3;20;PT. ZONA LINTAS SAMUDERA;0466803;
TGHU;063629;0;20;PT. ZONA LINTAS SAMUDERA;0636290;
TGHU;083373;0;20;PT. ZONA LINTAS SAMUDERA;0833730;
TGHU;085049;1;20;PT. ZONA LINTAS SAMUDERA;0850491;
TGHU;088669;0;20;PT. ZONA LINTAS SAMUDERA;0886690;
TGHU;093306;6;20;PT. ZONA LINTAS SAMUDERA;0933066;
TGHU;119681;0;20;PT. ZONA LINTAS SAMUDERA;1196810;
TGHU;124627;5;20;PT. ZONA LINTAS SAMUDERA;1246275;
TGHU;150199;8;20;PT. ZONA LINTAS SAMUDERA;1501998;
TGHU;151858;4;20;PT. ZONA LINTAS SAMUDERA;1518584;
TGHU;184584;3;20;PT. ZONA LINTAS SAMUDERA;1845843;
TGHU;184989;6;20;PT. ZONA LINTAS SAMUDERA;1849896;
TGHU;237129;2;20;PT. ZONA LINTAS SAMUDERA;2371292;
TGHU;238378;1;20;PT. ZONA LINTAS SAMUDERA;2383781;
TGHU;238464;3;20;PT. ZONA LINTAS SAMUDERA;2384643;
TGHU;252926;4;20;PT. ZONA LINTAS SAMUDERA;2529264;
TGHU;256946;2;20;PT. ZONA LINTAS SAMUDERA;2569462;
TGHU;257055;0;20;PT. ZONA LINTAS SAMUDERA;2570550;
TGHU;272794;8;20;PT. ZONA LINTAS SAMUDERA;2727948;
TGHU;274016;9;20;PT. ZONA LINTAS SAMUDERA;2740169;
TGHU;278325;8;20;PT. ZONA LINTAS SAMUDERA;2783258;
TGHU;279464;8;20;PT. ZONA LINTAS SAMUDERA;2794648;
TGHU;289154;5;20;PT. ZONA LINTAS SAMUDERA;2891545;
TGHU;289432;8;20;PT. ZONA LINTAS SAMUDERA;2894328;
TGHU;296397;0;20;PT. ZONA LINTAS SAMUDERA;2963970;
TGHU;302894;5;20;PT. ZONA LINTAS SAMUDERA;3028945;
TGHU;306725;8;20;PT. ZONA LINTAS SAMUDERA;3067258;
TGHU;311730;1;20;PT. ZONA LINTAS SAMUDERA;3117301;
TGHU;314508;9;20;PT. ZONA LINTAS SAMUDERA;3145089;
TGHU;322262;6;20;PT. ZONA LINTAS SAMUDERA;3222626;
TGHU;327431;6;20;PT. ZONA LINTAS SAMUDERA;3274316;
TGHU;335007;8;20;PT. ZONA LINTAS SAMUDERA;3350078;
TGHU;352647;0;20;PT. ZONA LINTAS SAMUDERA;3526470;
TGHU;368892;8;20;PT. ZONA LINTAS SAMUDERA;3688928;
TGHU;381450;1;20;PT. ZONA LINTAS SAMUDERA;3814501;
TGHU;382710;8;20;PT. ZONA LINTAS SAMUDERA;3827108;
TGHU;390337;9;20;PT. ZONA LINTAS SAMUDERA;3903379;
TGHU;398849;0;20;PT. ZONA LINTAS SAMUDERA;3988490;
TGHU;398894;6;20;PT. ZONA LINTAS SAMUDERA;3988946;
TGHU;613047;8;40;PT. ZONA LINTAS SAMUDERA;6130478;
TGHU;905747;3;40;PT. ZONA LINTAS SAMUDERA;9057473;
TGHU;918891;4;40;PT. ZONA LINTAS SAMUDERA;9188914;
TGHU;937774;9;40;PT. ZONA LINTAS SAMUDERA;9377749;
TGHU;950896;2;40;PT. ZONA LINTAS SAMUDERA;9508962;
TOLU;296774;8;20;PT. ZONA LINTAS SAMUDERA;2967748;
TPNU;411010;4;40;PT. ZONA LINTAS SAMUDERA;4110104;
TRDU;551752;0;20;PT. ZONA LINTAS SAMUDERA;5517520;
TRIU;382319;7;20;PT. ZONA LINTAS SAMUDERA;3823197;
TRLU;361057;6;20;PT. ZONA LINTAS SAMUDERA;3610576;
TRLU;361774;0;20;PT. ZONA LINTAS SAMUDERA;3617740;
TRLU;368018;8;20;PT. ZONA LINTAS SAMUDERA;3680188;
TRLU;498705;5;40;PT. ZONA LINTAS SAMUDERA;4987055;
TRLU;524262;1;40;PT. ZONA LINTAS SAMUDERA;5242621;
TRLU;554810;2;40;PT. ZONA LINTAS SAMUDERA;5548102;
TRLU;898693;0;20;PT. ZONA LINTAS SAMUDERA;8986930;
TRLU;965718;5;20;PT. ZONA LINTAS SAMUDERA;9657185;
TTNU;262438;6;20;PT. ZONA LINTAS SAMUDERA;2624386;
TTNU;307328;8;20;PT. ZONA LINTAS SAMUDERA;3073288;
TTNU;321694;3;20;PT. ZONA LINTAS SAMUDERA;3216943;
TTNU;333306;6;20;PT. ZONA LINTAS SAMUDERA;3333066;
TTNU;354315;0;20;PT. ZONA LINTAS SAMUDERA;3543150;
TTNU;361967;7;20;PT. ZONA LINTAS SAMUDERA;3619677;
TTNU;929576;5;40;PT. ZONA LINTAS SAMUDERA;9295765;
UACU;340394;3;20;PT. ZONA LINTAS SAMUDERA;3403943;
UESU;220158;0;20;PT. ZONA LINTAS SAMUDERA;2201580;
UESU;222305;9;20;PT. ZONA LINTAS SAMUDERA;2223059;
UESU;231070;2;20;PT. ZONA LINTAS SAMUDERA;2310702;
UESU;244900;4;20;PT. ZONA LINTAS SAMUDERA;2449004;
UESU;468870;7;40;PT. ZONA LINTAS SAMUDERA;4688707;
UGMU;858045;6;20;PT. ZONA LINTAS SAMUDERA;8580456;
VGCU;288609;7;40;PT. ZONA LINTAS SAMUDERA;2886097;
WFHU;102790;0;20;PT. ZONA LINTAS SAMUDERA;1027900;
WFHU;124096;2;20;PT. ZONA LINTAS SAMUDERA;1240962;
WHLU;020160;2;20;PT. ZONA LINTAS SAMUDERA;0201602;
WHLU;021591;0;20;PT. ZONA LINTAS SAMUDERA;0215910;
WHLU;024930;8;20;PT. ZONA LINTAS SAMUDERA;0249308;
WHLU;026801;5;20;PT. ZONA LINTAS SAMUDERA;0268015;
WHLU;027317;7;20;PT. ZONA LINTAS SAMUDERA;0273177;
WHLU;027402;3;20;PT. ZONA LINTAS SAMUDERA;0274023;
WHLU;028100;1;20;PT. ZONA LINTAS SAMUDERA;0281001;
WHLU;030090;3;20;PT. ZONA LINTAS SAMUDERA;0300903;
WHLU;031968;4;20;PT. ZONA LINTAS SAMUDERA;0319684;
WHLU;032131;5;20;PT. ZONA LINTAS SAMUDERA;0321315;
WHLU;032289;9;20;PT. ZONA LINTAS SAMUDERA;0322899;
WHLU;032376;6;20;PT. ZONA LINTAS SAMUDERA;0323766;
WHLU;033005;0;20;PT. ZONA LINTAS SAMUDERA;0330050;
WHLU;034359;3;20;PT. ZONA LINTAS SAMUDERA;0343593;
WHLU;035218;9;20;PT. ZONA LINTAS SAMUDERA;0352189;
WHLU;035912;0;20;PT. ZONA LINTAS SAMUDERA;0359120;
WHLU;037992;9;20;PT. ZONA LINTAS SAMUDERA;0379929;
WHLU;223488;4;20;PT. ZONA LINTAS SAMUDERA;2234884;
WHLU;227236;0;20;PT. ZONA LINTAS SAMUDERA;2272360;
WHLU;241608;7;20;PT. ZONA LINTAS SAMUDERA;2416087;
WHLU;242054;9;20;PT. ZONA LINTAS SAMUDERA;2420549;
WHLU;242084;7;20;PT. ZONA LINTAS SAMUDERA;2420847;
WHLU;248367;6;20;PT. ZONA LINTAS SAMUDERA;2483676;
WHLU;275045;3;20;PT. ZONA LINTAS SAMUDERA;2750453;
WHLU;285706;1;20;PT. ZONA LINTAS SAMUDERA;2857061;
WLNU;291595;0;20;PT. ZONA LINTAS SAMUDERA;2915950;
WSCU;162009;1;20;PT. ZONA LINTAS SAMUDERA;1620091;
WSCU;938917;9;40;PT. ZONA LINTAS SAMUDERA;9389179;
WSCU;962012;2;40;PT. ZONA LINTAS SAMUDERA;9620122;
XINU;108566;2;20;PT. ZONA LINTAS SAMUDERA;1085662;
XINU;108853;2;20;PT. ZONA LINTAS SAMUDERA;1088532;
XINU;110173;7;20;PT. ZONA LINTAS SAMUDERA;1101737;
XINU;149219;0;20;PT. ZONA LINTAS SAMUDERA;1492190;
XINU;152001;3;20;PT. ZONA LINTAS SAMUDERA;1520013;
XINU;158334;6;20;PT. ZONA LINTAS SAMUDERA;1583346;
XINU;813686;4;40;PT. ZONA LINTAS SAMUDERA;8136864;
XXXU;215019;6;20;PT. ZONA LINTAS SAMUDERA;2150196;
XXXU;990222;4;40;PT. ZONA LINTAS SAMUDERA;9902224;
YELU;575995;4;40;PT. ZONA LINTAS SAMUDERA;5759954;
YELU;578966;6;40;PT. ZONA LINTAS SAMUDERA;5789666;
YMLU;278667;5;20;PT. ZONA LINTAS SAMUDERA;2786675;
ZIMU;125464;7;20;PT. ZONA LINTAS SAMUDERA;1254647;
ZONA;020560;6;20;PT. ZONA LINTAS SAMUDERA;0205606;
ZONA;077317;7;20;PT. ZONA LINTAS SAMUDERA;0773177;
ZONA;191074;9;20;PT. ZONA LINTAS SAMUDERA;1910749;
ZONA;200424;3;20;PT. ZONA LINTAS SAMUDERA;2004243;
ZONA;220180;0;20;PT. ZONA LINTAS SAMUDERA;2201800;
ZONA;220198;8;20;PT. ZONA LINTAS SAMUDERA;2201988;
ZONA;220329;7;20;PT. ZONA LINTAS SAMUDERA;2203297;
ZONA;220420;2;20;PT. ZONA LINTAS SAMUDERA;2204202;
ZONA;220720;1;20;PT. ZONA LINTAS SAMUDERA;2207201;
ZONA;220826;0;20;PT. ZONA LINTAS SAMUDERA;2208260;
ZONA;220847;7;20;PT. ZONA LINTAS SAMUDERA;2208477;
ZONA;220991;4;20;PT. ZONA LINTAS SAMUDERA;2209914;
ZONA;221096;7;20;PT. ZONA LINTAS SAMUDERA;2210967;
ZONA;221177;3;20;PT. ZONA LINTAS SAMUDERA;2211773;
ZONA;221220;8;20;PT. ZONA LINTAS SAMUDERA;2212208;
ZONA;221329;5;20;PT. ZONA LINTAS SAMUDERA;2213295;
ZONA;221335;4;20;PT. ZONA LINTAS SAMUDERA;2213354;
ZONA;221416;6;20;PT. ZONA LINTAS SAMUDERA;2214166;
ZONA;221425;8;20;PT. ZONA LINTAS SAMUDERA;2214258;
ZONA;221427;4;20;PT. ZONA LINTAS SAMUDERA;2214274;
ZONA;221430;3;20;PT. ZONA LINTAS SAMUDERA;2214303;
ZONA;221451;4;20;PT. ZONA LINTAS SAMUDERA;2214514;
ZONA;221458;2;20;PT. ZONA LINTAS SAMUDERA;2214582;
ZONA;221572;7;20;PT. ZONA LINTAS SAMUDERA;2215727;
ZONA;221631;3;20;PT. ZONA LINTAS SAMUDERA;2216313;
ZONA;221647;7;20;PT. ZONA LINTAS SAMUDERA;2216477;
ZONA;221734;4;20;PT. ZONA LINTAS SAMUDERA;2217344;
ZONA;221741;0;20;PT. ZONA LINTAS SAMUDERA;2217410;
ZONA;221747;3;20;PT. ZONA LINTAS SAMUDERA;2217473;
ZONA;221795;8;20;PT. ZONA LINTAS SAMUDERA;2217958;
ZONA;221810;3;20;PT. ZONA LINTAS SAMUDERA;2218103;
ZONA;221819;2;20;PT. ZONA LINTAS SAMUDERA;2218192;
ZONA;221836;1;20;PT. ZONA LINTAS SAMUDERA;2218361;
ZONA;221851;1;20;PT. ZONA LINTAS SAMUDERA;2218511;
ZONA;221864;4;20;PT. ZONA LINTAS SAMUDERA;2218644;
ZONA;221930;5;20;PT. ZONA LINTAS SAMUDERA;2219305;
ZONA;231724;5;20;PT. ZONA LINTAS SAMUDERA;2317245;
ZONA;239066;7;20;PT. ZONA LINTAS SAMUDERA;2390667;
ZONA;240088;8;20;PT. ZONA LINTAS SAMUDERA;2400888;
ZONA;262745;5;20;PT. ZONA LINTAS SAMUDERA;2627455;
ZONA;280758;3;20;PT. ZONA LINTAS SAMUDERA;2807583;
ZONA;284379;6;20;PT. ZONA LINTAS SAMUDERA;2843796;
ZONA;286233;9;20;PT. ZONA LINTAS SAMUDERA;2862339;
ZONA;287589;2;20;PT. ZONA LINTAS SAMUDERA;2875892;
ZONA;290112;3;20;PT. ZONA LINTAS SAMUDERA;2901123;
ZONA;293830;8;20;PT. ZONA LINTAS SAMUDERA;2938308;
ZONA;316376;5;20;PT. ZONA LINTAS SAMUDERA;3163765;
ZONA;325768;1;20;PT. ZONA LINTAS SAMUDERA;3257681;
ZONA;342316;4;20;PT. ZONA LINTAS SAMUDERA;3423164;
ZONA;357070;0;20;PT. ZONA LINTAS SAMUDERA;3570700;
ZONA;357142;9;20;PT. ZONA LINTAS SAMUDERA;3571429;
ZONA;391138;1;20;PT. ZONA LINTAS SAMUDERA;3911381;
ZONA;522929;0;20;PT. ZONA LINTAS SAMUDERA;5229290;
ZONA;529851;4;40;PT. ZONA LINTAS SAMUDERA;5298514;
ZONA;606266;8;20;PT. ZONA LINTAS SAMUDERA;6062668;
ZONA;621034;1;20;PT. ZONA LINTAS SAMUDERA;6210341;
