Awalan Kontainer;Nomor Seri;Akhiran;Ukuran;Vendor;Nomor Kontainer;
CAXU;931964;6;40;PT. ZONA LINTAS SAMUDERA;9319646;
CAXU;951372;8;40;PT. ZONA LINTAS SAMUDERA;9513728;
CAXU;996875;3;40;PT. ZONA LINTAS SAMUDERA;9968753;
CBHU;366563;4;20;PT. ZONA LINTAS SAMUDERA;3665634;
CBHU;403443;8;20;PT. ZONA LINTAS SAMUDERA;4034438;
CBHU;407563;2;20;PT. ZONA LINTAS SAMUDERA;4075632;
CBHU;553163;4;20;PT. ZONA LINTAS SAMUDERA;5531634;
CBHU;560478;8;20;PT. ZONA LINTAS SAMUDERA;5604788;
CBHU;570012;2;20;PT. ZONA LINTAS SAMUDERA;5700122;
CBHU;584191;7;20;PT. ZONA LINTAS SAMUDERA;5841917;
CBHU;800966;5;40;PT. ZONA LINTAS SAMUDERA;8009665;
CBHU;881065;3;40;PT. ZONA LINTAS SAMUDERA;8810653;
CBHU;886805;9;20;PT. ZONA LINTAS SAMUDERA;8868059;
CCLU;260304;7;20;PT. ZONA LINTAS SAMUDERA;2603047;
CCLU;264406;7;20;PT. ZONA LINTAS SAMUDERA;2644067;
CCLU;278411;4;20;PT. ZONA LINTAS SAMUDERA;2784114;
CCLU;282359;2;20;PT. ZONA LINTAS SAMUDERA;2823592;
CCLU;294519;0;20;PT. ZONA LINTAS SAMUDERA;2945190;
CCLU;345157;1;20;PT. ZONA LINTAS SAMUDERA;3451571;
CCLU;345681;9;20;PT. ZONA LINTAS SAMUDERA;3456819;
CCLU;358854;3;20;PT. ZONA LINTAS SAMUDERA;3588543;
CCLU;365103;4;20;PT. ZONA LINTAS SAMUDERA;3651034;
CCLU;371476;5;20;PT. ZONA LINTAS SAMUDERA;3714765;
CCLU;391048;0;20;PT. ZONA LINTAS SAMUDERA;3910480;
CCLU;399643;7;20;PT. ZONA LINTAS SAMUDERA;3996437;
CCLU;624730;3;40;PT. ZONA LINTAS SAMUDERA;6247303;
CCLU;677790;0;40;PT. ZONA LINTAS SAMUDERA;6777900;
CCLU;703254;7;40;PT. ZONA LINTAS SAMUDERA;7032547;
CCLU;711913;8;20;PT. ZONA LINTAS SAMUDERA;7119138;
CHKU;220233;6;20;PT. ZONA LINTAS SAMUDERA;2202336;
CHKU;220505;0;20;PT. ZONA LINTAS SAMUDERA;2205050;
CHKU;220582;6;20;PT. ZONA LINTAS SAMUDERA;2205826;
CHKU;221018;6;20;PT. ZONA LINTAS SAMUDERA;2210186;
CHKU;221031;3;20;PT. ZONA LINTAS SAMUDERA;2210313;
CHKU;221032;9;20;PT. ZONA LINTAS SAMUDERA;2210329;
CHKU;221191;6;20;PT. ZONA LINTAS SAMUDERA;2211916;
CHKU;221306;1;20;PT. ZONA LINTAS SAMUDERA;2213061;
CHKU;221311;7;20;PT. ZONA LINTAS SAMUDERA;2213117;
CHKU;221429;0;20;PT. ZONA LINTAS SAMUDERA;2214290;
CHKU;221567;6;20;PT. ZONA LINTAS SAMUDERA;2215676;
CHKU;221570;0;20;PT. ZONA LINTAS SAMUDERA;2215700;
CHKU;221595;3;20;PT. ZONA LINTAS SAMUDERA;2215953;
CHKU;221728;3;20;PT. ZONA LINTAS SAMUDERA;2217283;
CHKU;221879;9;20;PT. ZONA LINTAS SAMUDERA;2218799;
CHKU;221900;7;20;PT. ZONA LINTAS SAMUDERA;2219007;
CHKU;221950;0;20;PT. ZONA LINTAS SAMUDERA;2219500;
CHKU;221985;6;20;PT. ZONA LINTAS SAMUDERA;2219856;
CHKU;357042;2;20;PT. ZONA LINTAS SAMUDERA;3570422;
CHKU;357053;0;20;PT. ZONA LINTAS SAMUDERA;3570530;
CHKU;357275;0;20;PT. ZONA LINTAS SAMUDERA;3572750;
CLHU;216940;8;20;PT. ZONA LINTAS SAMUDERA;2169408;
CLHU;248586;0;20;PT. ZONA LINTAS SAMUDERA;2485860;
CLHU;291251;3;20;PT. ZONA LINTAS SAMUDERA;2912513;
CLHU;311564;3;20;PT. ZONA LINTAS SAMUDERA;3115643;
CLHU;327225;7;20;PT. ZONA LINTAS SAMUDERA;3272257;
CLHU;345767;2;20;PT. ZONA LINTAS SAMUDERA;3457672;
CLHU;358685;4;20;PT. ZONA LINTAS SAMUDERA;3586854;
CLHU;360223;5;20;PT. ZONA LINTAS SAMUDERA;3602235;
CLHU;373311;1;20;PT. ZONA LINTAS SAMUDERA;3733111;
CLHU;383696;9;20;PT. ZONA LINTAS SAMUDERA;3836969;
CLHU;388082;7;20;PT. ZONA LINTAS SAMUDERA;3880827;
CLHU;392517;7;20;PT. ZONA LINTAS SAMUDERA;3925177;
CLHU;801350;0;40;PT. ZONA LINTAS SAMUDERA;8013500;
CLHU;820776;3;40;PT. ZONA LINTAS SAMUDERA;8207763;
CLHU;867366;9;40;PT. ZONA LINTAS SAMUDERA;8673669;
CMAU;103466;9;20;PT. ZONA LINTAS SAMUDERA;1034669;
CMAU;167883;0;20;PT. ZONA LINTAS SAMUDERA;1678830;
CMAU;507011;3;40;PT. ZONA LINTAS SAMUDERA;5070113;
CPSU;163682;8;20;PT. ZONA LINTAS SAMUDERA;1636828;
CPSU;182851;7;20;PT. ZONA LINTAS SAMUDERA;1828517;
CRSU;107609;6;20;PT. ZONA LINTAS SAMUDERA;1076096;
CRSU;116256;9;20;PT. ZONA LINTAS SAMUDERA;1162569;
CRSU;140966;4;20;PT. ZONA LINTAS SAMUDERA;1409664;
CRSU;141202;0;20;PT. ZONA LINTAS SAMUDERA;1412020;
CRSU;142179;9;20;PT. ZONA LINTAS SAMUDERA;1421799;
CRSU;146854;3;20;PT. ZONA LINTAS SAMUDERA;1468543;
CRXU;109149;3;20;PT. ZONA LINTAS SAMUDERA;1091493;
CRXU;114312;8;20;PT. ZONA LINTAS SAMUDERA;1143128;
CRXU;117844;3;20;PT. ZONA LINTAS SAMUDERA;1178443;
CRXU;127771;8;20;PT. ZONA LINTAS SAMUDERA;1277718;
CRXU;128014;1;20;PT. ZONA LINTAS SAMUDERA;1280141;
CRXU;128057;9;20;PT. ZONA LINTAS SAMUDERA;1280579;
CRXU;129499;4;20;PT. ZONA LINTAS SAMUDERA;1294994;
CRXU;142697;7;20;PT. ZONA LINTAS SAMUDERA;1426977;
CRXU;143283;5;20;PT. ZONA LINTAS SAMUDERA;1432835;
CRXU;143296;4;20;PT. ZONA LINTAS SAMUDERA;1432964;
CRXU;150967;0;20;PT. ZONA LINTAS SAMUDERA;1509670;
CRXU;151203;6;20;PT. ZONA LINTAS SAMUDERA;1512036;
CRXU;153194;6;20;PT. ZONA LINTAS SAMUDERA;1531946;
CRXU;174687;8;20;PT. ZONA LINTAS SAMUDERA;1746878;
CRXU;176148;7;20;PT. ZONA LINTAS SAMUDERA;1761487;
CRXU;181672;2;20;PT. ZONA LINTAS SAMUDERA;1816722;
CRXU;201236;0;20;PT. ZONA LINTAS SAMUDERA;2012360;
CRXU;213202;5;20;PT. ZONA LINTAS SAMUDERA;2132025;
CRXU;300347;0;20;PT. ZONA LINTAS SAMUDERA;3003470;
CRXU;303404;4;20;PT. ZONA LINTAS SAMUDERA;3034044;
CRXU;306495;9;20;PT. ZONA LINTAS SAMUDERA;3064959;
CRXU;311208;6;20;PT. ZONA LINTAS SAMUDERA;3112086;
CRXU;312932;4;20;PT. ZONA LINTAS SAMUDERA;3129324;
CRXU;315271;0;20;PT. ZONA LINTAS SAMUDERA;3152710;
CRXU;317563;3;20;PT. ZONA LINTAS SAMUDERA;3175633;
CRXU;317776;5;20;PT. ZONA LINTAS SAMUDERA;3177765;
CRXU;324818;0;20;PT. ZONA LINTAS SAMUDERA;3248180;
CRXU;328509;7;20;PT. ZONA LINTAS SAMUDERA;3285097;
CRXU;945444;5;40;PT. ZONA LINTAS SAMUDERA;9454445;
CSLU;103252;0;20;PT. ZONA LINTAS SAMUDERA;1032520;
CSLU;103406;0;20;PT. ZONA LINTAS SAMUDERA;1034060;
CSLU;105994;2;20;PT. ZONA LINTAS SAMUDERA;1059942;
CSLU;142658;6;20;PT. ZONA LINTAS SAMUDERA;1426586;
CXDU;109697;0;20;PT. ZONA LINTAS SAMUDERA;1096970;
CXDU;110764;8;20;PT. ZONA LINTAS SAMUDERA;1107648;
