Group;Kontainer;Awal;Akhir;Ukuran; Harga ;Periode;Status;Hari; DPP ;Keterangan; QTY Disc ; adjustment ; Pembulatan ; ppn ; pph ; grand_total ;No.InvoiceVendor;Tgl.InvVendor;No.Bank;Tgl.Bank;OK;Approval;x;Group;;;;;;;;x
Z09;TDRU6124340;16 May 24;15 Jun 24;40; 1.261.261 ;7;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.19.24881;02 Sep 24;EBK250100275;30 Jan 25;OK;;Up;Z09;;;;;;;;
Z09;TDRU6124340;16 Jun 24;15 Jul 24;40; 1.261.261 ;8;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.09.24882;02 Sep 24;EBK250100275;30 Jan 25;OK;;Up;Z09;;;;;;;;
Z09;TDRU6124340;16 Jul 24;15 Aug 24;40; 1.261.261 ;9;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.09.24883;02 Sep 24;EBK250100275;30 Jan 25;OK;;Up;Z09;;;;;;;;
Z09;TDRU6124340;16 Aug 24;15 Sep 24;40; 1.261.261 ;10;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.09.24884;02 Sep 24;EBK250100275;30 Jan 25;OK;;Up;Z09;;;;;;;;
Z09;TDRU6124340;16 Sep 24;15 Oct 24;40; 1.261.261 ;11;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.11.25965;20 Nov 24;EBK250100275;30 Jan 25;OK;;Up;Z09;;;;;;;;
Z09;TDRU6124340;16 Oct 24;15 Nov 24;40; 1.261.261 ;12;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.11.25966;20 Nov 24;EBK250100275;30 Jan 25;OK;;Up;Z09;;;;;;;;
Z09;TDRU6124340;16 Nov 24;03 Dec 24;40; 1.261.261 ;13;Harian;18; 756.757 ;;; -   ;; 83.243 ; 15.135 ; 824.865 ;ZONA24.12.26552;28 Dec 24;EBK250100275;30 Jan 25;OK;;Up;Z09;;;;;;;;
Z16;EGHU9005182;13 Jan 24;12 Feb 24;40; 1.261.261 ;1;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.01.22359;18 Jan 24;EBK240500055;21 May 24;OK;;Up;Z16;;;;;;;;
Z16;NYKU5622053;13 Jan 24;12 Feb 24;40; 1.261.261 ;1;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.01.22359;18 Jan 24;EBK240500055;21 May 24;OK;;Up;Z16;;;;;;;;
Z16;MSCU9903797;14 Jan 24;13 Feb 24;40; 1.261.261 ;1;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.01.22359;18 Jan 24;EBK240500055;21 May 24;OK;;Up;Z16;;;;;;;;
Z16;VGCU2886097;14 Jan 24;13 Feb 24;40; 1.261.261 ;1;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.01.22359;18 Jan 24;EBK240500055;21 May 24;OK;;Up;Z16;;;;;;;;
Z16;EGHU9005182;13 Feb 24;12 Mar 24;40; 1.261.261 ;2;Bulanan;29; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.02.22623;19 Feb 24;EBK240500055;21 May 24;OK;;Up;Z16;;;;;;;;
Z16;NYKU5622053;13 Feb 24;12 Mar 24;40; 1.261.261 ;2;Bulanan;29; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.02.22623;19 Feb 24;EBK240500055;21 May 24;OK;;Up;Z16;;;;;;;;
Z16;MSCU9903797;14 Feb 24;13 Mar 24;40; 1.261.261 ;2;Bulanan;29; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.02.22623;19 Feb 24;EBK240500055;21 May 24;OK;;Up;Z16;;;;;;;;
