"Awalan Kontainer (4 karakter)";"Nomor Seri Kontainer (6 digit)";"Akhiran Kontainer (1 digit)";"Nomor Seri Gabungan (11 karakter)";Ukuran;"Tipe Kontainer";Status;"Tahun Pembuatan";Keterangan
AYPU;208594;7;AYPU2085947;20;"Dry Container";available;;
AYPU;208627;0;AYPU2086270;20;"Dry Container";available;;
AYPU;210023;5;AYPU2100235;20;"Dry Container";available;;
AYPU;210027;7;AYPU2100277;20;"Dry Container";available;;
AYPU;210053;3;AYPU2100533;20;"Dry Container";available;;
AYPU;210063;6;AYPU2100636;20;"Dry Container";available;;
AYPU;210080;5;AYPU2100805;20;"Dry Container";available;;
AYPU;210105;7;AYPU2101057;20;"Dry Container";available;;
AYPU;210107;3;AYPU2101073;20;"Dry Container";available;;
AYPU;210120;5;AYPU2101205;20;"Dry Container";available;;
AYPU;210133;4;AYPU2101334;20;"Dry Container";available;;
AYPU;210137;6;AYPU2101376;20;"Dry Container";available;;
AYPU;210170;9;AYPU2101709;20;"Dry Container";available;;
AYPU;210182;2;AYPU2101822;20;"Dry Container";available;;
AYPU;210217;7;AYPU2102177;20;"Dry Container";available;;
AYPU;210231;0;AYPU2102310;20;"Dry Container";available;;
AYPU;210240;7;AYPU2102407;20;"Dry Container";available;;
AYPU;210243;3;AYPU2102433;20;"Dry Container";available;;
AYPU;210250;0;AYPU2102500;20;"Dry Container";available;;
AYPU;210298;4;AYPU2102984;20;"Dry Container";available;;
AYPU;210428;8;AYPU2104288;20;"Dry Container";available;;
AYPU;210447;8;AYPU2104478;20;"Dry Container";available;;
AYPU;210462;6;AYPU2104626;20;"Dry Container";available;;
AYPU;210473;4;AYPU2104734;20;"Dry Container";available;;
AYPU;210484;2;AYPU2104842;20;"Dry Container";available;;
AYPU;210489;0;AYPU2104890;20;"Dry Container";available;;
AYPU;210513;4;AYPU2105134;20;"Dry Container";available;;
AYPU;210527;9;AYPU2105279;20;"Dry Container";available;;
AYPU;210553;5;AYPU2105535;20;"Dry Container";available;;
AYPU;210576;7;AYPU2105767;20;"Dry Container";available;;
AYPU;210579;3;AYPU2105793;20;"Dry Container";available;;
AYPU;210581;2;AYPU2105812;20;"Dry Container";available;;
AYPU;210584;9;AYPU2105849;20;"Dry Container";available;;
AYPU;210608;5;AYPU2106085;20;"Dry Container";available;;
AYPU;210614;6;AYPU2106146;20;"Dry Container";available;;
AYPU;210616;7;AYPU2106167;20;"Dry Container";available;;
AYPU;210634;1;AYPU2106341;20;"Dry Container";available;;
AYPU;210636;2;AYPU2106362;20;"Dry Container";available;;
AYPU;210676;3;AYPU2106763;20;"Dry Container";available;;
AYPU;210685;0;AYPU2106850;20;"Dry Container";available;;
AYPU;210708;8;AYPU2107088;20;"Dry Container";available;;
AYPU;210718;4;AYPU2107184;20;"Dry Container";available;;
AYPU;210794;4;AYPU2107944;20;"Dry Container";available;;
AYPU;210801;0;AYPU2108010;20;"Dry Container";available;;
AYPU;210830;2;AYPU2108302;20;"Dry Container";available;;
AYPU;210845;2;AYPU2108452;20;"Dry Container";available;;
AYPU;211003;8;AYPU2110038;20;"Dry Container";available;;
AYPU;211018;8;AYPU2110188;20;"Dry Container";available;;
AYPU;211046;5;AYPU2110465;20;"Dry Container";available;;
AYPU;211069;7;AYPU2110697;20;"Dry Container";available;;
AYPU;211075;8;AYPU2110758;20;"Dry Container";available;;
AYPU;211086;6;AYPU2110866;20;"Dry Container";available;;
AYPU;211089;2;AYPU2110892;20;"Dry Container";available;;
AYPU;211093;2;AYPU2110932;20;"Dry Container";available;;
AYPU;211098;0;AYPU2110980;20;"Dry Container";available;;
AYPU;211101;3;AYPU2111013;20;"Dry Container";available;;
AYPU;211121;9;AYPU2111219;20;"Dry Container";available;;
AYPU;211147;7;AYPU2111477;20;"Dry Container";available;;
AYPU;211148;2;AYPU2111482;20;"Dry Container";available;;
AYPU;211149;8;AYPU2111498;20;"Dry Container";available;;
AYPU;211151;7;AYPU2111517;20;"Dry Container";available;;
AYPU;211155;9;AYPU2111559;20;"Dry Container";available;;
AYPU;211183;6;AYPU2111836;20;"Dry Container";available;;
AYPU;211186;2;AYPU2111862;20;"Dry Container";available;;
AYPU;211193;9;AYPU2111939;20;"Dry Container";available;;
AYPU;211213;3;AYPU2112133;20;"Dry Container";available;;
AYPU;211215;4;AYPU2112154;20;"Dry Container";available;;
AYPU;211219;6;AYPU2112196;20;"Dry Container";available;;
AYPU;211235;0;AYPU2112350;20;"Dry Container";available;;
AYPU;211265;8;AYPU2112658;20;"Dry Container";available;;
AYPU;211287;4;AYPU2112874;20;"Dry Container";available;;
AYPU;211309;0;AYPU2113090;20;"Dry Container";available;;
AYPU;211325;3;AYPU2113253;20;"Dry Container";available;;
AYPU;211342;2;AYPU2113422;20;"Dry Container";available;;
AYPU;211356;7;AYPU2113567;20;"Dry Container";available;;
AYPU;211363;3;AYPU2113633;20;"Dry Container";available;;
AYPU;211387;0;AYPU2113870;20;"Dry Container";available;;
AYPU;211390;5;AYPU2113905;20;"Dry Container";available;;
AYPU;211391;0;AYPU2113910;20;"Dry Container";available;;
AYPU;211402;8;AYPU2114028;20;"Dry Container";available;;
AYPU;211435;2;AYPU2114352;20;"Dry Container";available;;
AYPU;211446;0;AYPU2114460;20;"Dry Container";available;;
AYPU;211466;6;AYPU2114666;20;"Dry Container";available;;
AYPU;212295;0;AYPU2122950;20;"Dry Container";available;;
AYPU;213340;4;AYPU2133404;20;"Dry Container";available;;
AYPU;213573;0;AYPU2135730;20;"Dry Container";available;;
AYPU;214228;5;AYPU2142285;20;"Dry Container";available;;
AYPU;215220;6;AYPU2152206;20;"Dry Container";available;;
AYPU;217094;0;AYPU2170940;20;"Dry Container";available;;
AYPU;217707;0;AYPU2177070;20;"Dry Container";available;;
AYPU;218569;1;AYPU2185691;20;"Dry Container";available;;
AYPU;219014;8;AYPU2190148;20;"Dry Container";available;;
AYPU;219035;5;AYPU2190355;20;"Dry Container";available;;
AYPU;219101;5;AYPU2191015;20;"Dry Container";available;;
AYPU;219493;1;AYPU2194931;20;"Dry Container";available;;
AYPU;219507;0;AYPU2195070;20;"Dry Container";available;;
AYPU;219910;3;AYPU2199103;20;"Dry Container";available;;
AYPU;022057;8;AYPU0220578;20;"Dry Container";available;2010;"TUKER TAMBAH EX WHLU"
AYPU;220588;4;AYPU2205884;20;"Dry Container";available;;
AYPU;220672;7;AYPU2206727;20;"Dry Container";available;;
AYPU;029142;1;AYPU0291421;20;"Dry Container";available;;"TUKER TAMBAH AYPU2214912"
AYPU;221974;5;AYPU2219745;20;"Dry Container";available;;
AYPU;222619;6;AYPU2226196;20;"Dry Container";available;;
AYPU;222635;5;AYPU2226355;20;"Dry Container";available;;
AYPU;223181;7;AYPU2231817;20;"Dry Container";available;;
AYPU;223304;6;AYPU2233046;20;"Dry Container";available;;
AYPU;223402;0;AYPU2234020;20;"Dry Container";available;;
AYPU;223452;5;AYPU2234525;20;"Dry Container";available;;
AYPU;223475;7;AYPU2234757;20;"Dry Container";available;;
AYPU;223562;4;AYPU2235624;20;"Dry Container";available;;
AYPU;223636;4;AYPU2236364;20;"Dry Container";available;;
AYPU;223723;0;AYPU2237230;20;"Dry Container";available;;
AYPU;223964;8;AYPU2239648;20;"Dry Container";available;;
AYPU;224204;6;AYPU2242046;20;"Dry Container";available;;
AYPU;224468;9;AYPU2244689;20;"Dry Container";available;;
AYPU;224584;8;AYPU2245848;20;"Dry Container";available;;
AYPU;224809;1;AYPU2248091;20;"Dry Container";available;;
AYPU;225452;0;AYPU2254520;20;"Dry Container";available;;
AYPU;225529;6;AYPU2255296;20;"Dry Container";available;;
AYPU;225741;0;AYPU2257410;20;"Dry Container";available;;
AYPU;225781;1;AYPU2257811;20;"Dry Container";available;;
AYPU;225803;7;AYPU2258037;20;"Dry Container";available;;
AYPU;225830;5;AYPU2258305;20;"Dry Container";available;;
AYPU;225881;8;AYPU2258818;20;"Dry Container";available;;
AYPU;226141;0;AYPU2261410;20;"Dry Container";available;;
AYPU;226242;2;AYPU2262422;20;"Dry Container";available;;
AYPU;226267;0;AYPU2262670;20;"Dry Container";available;;
AYPU;226303;3;AYPU2263033;20;"Dry Container";available;;
AYPU;226610;9;AYPU2266109;20;"Dry Container";available;;
AYPU;226634;6;AYPU2266346;20;"Dry Container";available;;
AYPU;226660;2;AYPU2266602;20;"Dry Container";available;;
AYPU;226818;5;AYPU2268185;20;"Dry Container";available;;
AYPU;227035;1;AYPU2270351;20;"Dry Container";available;;
AYPU;227141;9;AYPU2271419;20;"Dry Container";available;;
AYPU;227171;7;AYPU2271717;20;"Dry Container";available;;
AYPU;030563;3;AYPU0305633;20;"Dry Container";available;;"TUKER TAMBAH AYPU2272729"
AYPU;227372;5;AYPU2273725;20;"Dry Container";available;;
AYPU;227710;0;AYPU2277100;20;"Dry Container";available;;
AYPU;227883;2;AYPU2278832;20;"Dry Container";available;;
AYPU;227988;9;AYPU2279889;20;"Dry Container";available;;
AYPU;228117;1;AYPU2281171;20;"Dry Container";available;;
AYPU;229380;6;AYPU2293806;20;"Dry Container";available;;
AYPU;229562;1;AYPU2295621;20;"Dry Container";available;;
AYPU;229574;5;AYPU2295745;20;"Dry Container";available;;
AYPU;229679;9;AYPU2296799;20;"Dry Container";available;;
AYPU;229760;3;AYPU2297603;20;"Dry Container";available;;
AYPU;229961;1;AYPU2299611;20;"Dry Container";available;;
AYPU;229971;4;AYPU2299714;20;"Dry Container";available;;
AYPU;230119;6;AYPU2301196;20;"Dry Container";available;;
AYPU;230417;3;AYPU2304173;20;"Dry Container";available;;
AYPU;231141;9;AYPU2311419;20;"Dry Container";available;;
AYPU;231161;4;AYPU2311614;20;"Dry Container";available;;
AYPU;231224;6;AYPU2312246;20;"Dry Container";available;;
AYPU;231368;5;AYPU2313685;20;"Dry Container";available;;
AYPU;231405;9;AYPU2314059;20;"Dry Container";available;;
AYPU;231853;4;AYPU2318534;20;"Dry Container";available;;
AYPU;232315;3;AYPU2323153;20;"Dry Container";available;;
AYPU;233294;1;AYPU2332941;20;"Dry Container";available;;
