"Awalan Kontainer (4 karakter)";"Nomor Seri Kontainer (6 digit)";"Akhiran Kontainer (1 digit)";"Nomor Seri Gabungan (11 karakter)";Ukuran;"Tipe Kontainer";Status;"Tahun Pembuatan";Keterangan
AYPU;260080;5;AYPU2600805;20;"Dry Container";available;;
AYPU;260272;8;AYPU2602728;20;"Dry Container";available;;
AYPU;260375;0;AYPU2603750;20;"Dry Container";available;;
AYPU;260628;2;AYPU2606282;20;"Dry Container";available;;
AYPU;260978;6;AYPU2609786;20;"Dry Container";available;;
AYPU;261206;9;AYPU2612069;20;"Dry Container";available;;
AYPU;261383;0;AYPU2613830;20;"Dry Container";available;;
AYPU;261546;9;AYPU2615469;20;"Dry Container";available;;
AYPU;261628;0;AYPU2616280;20;"Dry Container";available;;
AYPU;261831;8;AYPU2618318;20;"Dry Container";available;;
AYPU;262045;0;AYPU2620450;20;"Dry Container";available;;
AYPU;262434;6;AYPU2624346;20;"Dry Container";available;;
AYPU;262660;6;AYPU2626606;20;"Dry Container";available;;
AYPU;262734;6;AYPU2627346;20;"Dry Container";available;;
AYPU;263830;9;AYPU2638309;20;"Dry Container";available;;
AYPU;264302;8;AYPU2643028;20;"Dry Container";available;;
AYPU;264464;0;AYPU2644640;20;"Dry Container";available;;
AYPU;264740;4;AYPU2647404;20;"Dry Container";available;;
AYPU;264795;4;AYPU2647954;20;"Dry Container";available;;
AYPU;265753;0;AYPU2657530;20;"Dry Container";available;;
AYPU;265816;2;AYPU2658162;20;"Dry Container";available;;
AYPU;265842;9;AYPU2658429;20;"Dry Container";available;;
AYPU;265956;0;AYPU2659560;20;"Dry Container";available;;
AYPU;266047;3;AYPU2660473;20;"Dry Container";available;;
AYPU;266203;2;AYPU2662032;20;"Dry Container";available;;
AYPU;266274;8;AYPU2662748;20;"Dry Container";available;;
AYPU;266598;4;AYPU2665984;20;"Dry Container";available;;
AYPU;267300;1;AYPU2673001;20;"Dry Container";available;;
AYPU;267523;6;AYPU2675236;20;"Dry Container";available;;
AYPU;268436;7;AYPU2684367;20;"Dry Container";available;;
AYPU;269205;8;AYPU2692058;20;"Dry Container";available;;
AYPU;270962;8;AYPU2709628;20;"Dry Container";available;;
AYPU;271493;8;AYPU2714938;20;"Dry Container";available;;
AYPU;271627;3;AYPU2716273;20;"Dry Container";available;;
AYPU;273250;8;AYPU2732508;20;"Dry Container";available;;
AYPU;273837;5;AYPU2738375;20;"Dry Container";available;;
AYPU;274154;8;AYPU2741548;20;"Dry Container";available;;
AYPU;274232;8;AYPU2742328;20;"Dry Container";available;;
AYPU;275847;5;AYPU2758475;20;"Dry Container";available;;
AYPU;276001;8;AYPU2760018;20;"Dry Container";available;;
AYPU;276084;8;AYPU2760848;20;"Dry Container";available;;
AYPU;276144;1;AYPU2761441;20;"Dry Container";available;;
AYPU;276279;3;AYPU2762793;20;"Dry Container";available;;
AYPU;276296;2;AYPU2762962;20;"Dry Container";available;;
AYPU;276996;7;AYPU2769967;20;"Dry Container";available;;
AYPU;277428;2;AYPU2774282;20;"Dry Container";available;;
AYPU;278125;8;AYPU2781258;20;"Dry Container";available;;
AYPU;278149;5;AYPU2781495;20;"Dry Container";available;;
AYPU;280849;0;AYPU2808490;20;"Dry Container";available;;
AYPU;281000;1;AYPU2810001;20;"Dry Container";available;;
AYPU;281722;9;AYPU2817229;20;"Dry Container";available;;
AYPU;282154;4;AYPU2821544;20;"Dry Container";available;;
AYPU;283144;6;AYPU2831446;20;"Dry Container";available;;
AYPU;283329;8;AYPU2833298;20;"Dry Container";available;;
AYPU;285506;0;AYPU2855060;20;"Dry Container";available;;
AYPU;285945;0;AYPU2859450;20;"Dry Container";available;;
AYPU;286097;6;AYPU2860976;20;"Dry Container";available;;
AYPU;286677;7;AYPU2866777;20;"Dry Container";available;;
AYPU;287042;9;AYPU2870429;20;"Dry Container";available;;
AYPU;287632;0;AYPU2876320;20;"Dry Container";available;;
AYPU;288397;1;AYPU2883971;20;"Dry Container";available;;
AYPU;956115;3;AYPU9561153;20;"Dry Container";available;;"TUKER TAMBAH AYPU2884831"
AYPU;289043;3;AYPU2890433;20;"Dry Container";available;;
AYPU;289159;2;AYPU2891592;20;"Dry Container";available;;
AYPU;289940;4;AYPU2899404;20;"Dry Container";available;;
AYPU;290126;3;AYPU2901263;20;"Dry Container";available;;
AYPU;290689;8;AYPU2906898;20;"Dry Container";available;;
AYPU;290772;8;AYPU2907728;20;"Dry Container";available;;
AYPU;290777;5;AYPU2907775;20;"Dry Container";available;;
AYPU;790692;0;AYPU7906920;20;"Dry Container";available;;TUKAR
AYPU;292364;0;AYPU2923640;20;"Dry Container";available;;
AYPU;292711;1;AYPU2927111;20;"Dry Container";available;;
AYPU;293092;3;AYPU2930923;20;"Dry Container";available;;
AYPU;293241;5;AYPU2932415;20;"Dry Container";available;;
AYPU;294129;6;AYPU2941296;20;"Dry Container";available;;
AYPU;294529;2;AYPU2945292;20;"Dry Container";available;;
AYPU;295056;8;AYPU2950568;20;"Dry Container";available;;
AYPU;295186;5;AYPU2951865;20;"Dry Container";available;;
AYPU;295448;3;AYPU2954483;20;"Dry Container";available;;
AYPU;295552;0;AYPU2955520;20;"Dry Container";available;;
AYPU;296509;9;AYPU2965099;20;"Dry Container";available;;
AYPU;297663;6;AYPU2976636;20;"Dry Container";available;;
AYPU;298019;0;AYPU2980190;20;"Dry Container";available;;
AYPU;298574;1;AYPU2985741;20;"Dry Container";available;;
AYPU;298786;8;AYPU2987868;20;"Dry Container";available;;
AYPU;299042;9;AYPU2990429;20;"Dry Container";available;;
AYPU;299566;8;AYPU2995668;20;"Dry Container";available;;
AYPU;300658;9;AYPU3006589;20;"Dry Container";available;;
AYPU;302064;9;AYPU3020649;20;"Dry Container";available;;
AYPU;305747;2;AYPU3057472;20;"Dry Container";available;;
AYPU;306009;2;AYPU3060092;20;"Dry Container";available;;
AYPU;306617;0;AYPU3066170;20;"Dry Container";available;;
AYPU;306690;0;AYPU3066900;20;"Dry Container";available;;
AYPU;307284;1;AYPU3072841;20;"Dry Container";available;;
AYPU;308650;5;AYPU3086505;20;"Dry Container";available;;
AYPU;308778;0;AYPU3087780;20;"Dry Container";available;;
AYPU;309444;0;AYPU3094440;20;"Dry Container";available;;
AYPU;309471;0;AYPU3094710;20;"Dry Container";available;;
AYPU;311590;1;AYPU3115901;20;"Dry Container";available;;
AYPU;311776;1;AYPU3117761;20;"Dry Container";available;;
AYPU;312016;9;AYPU3120169;20;"Dry Container";available;;
AYPU;314705;1;AYPU3147051;20;"Dry Container";available;;
AYPU;316102;3;AYPU3161023;20;"Dry Container";available;;
AYPU;316381;2;AYPU3163812;20;"Dry Container";available;;
AYPU;316550;1;AYPU3165501;20;"Dry Container";available;;
AYPU;316927;7;AYPU3169277;20;"Dry Container";available;;
AYPU;316937;0;AYPU3169370;20;"Dry Container";available;;
AYPU;316965;7;AYPU3169657;20;"Dry Container";available;;
AYPU;317453;0;AYPU3174530;20;"Dry Container";available;;
AYPU;317486;4;AYPU3174864;20;"Dry Container";available;;
AYPU;317602;3;AYPU3176023;20;"Dry Container";available;;
AYPU;317632;1;AYPU3176321;20;"Dry Container";available;;
AYPU;317822;1;AYPU3178221;20;"Dry Container";available;;
AYPU;318539;0;AYPU3185390;20;"Dry Container";available;;
AYPU;792341;9;AYPU7923419;20;"Dry Container";available;;TUKAR
AYPU;320534;6;AYPU3205346;20;"Dry Container";available;;
AYPU;320621;3;AYPU3206213;20;"Dry Container";available;;
AYPU;323140;6;AYPU3231406;20;"Dry Container";available;;
AYPU;323907;9;AYPU3239079;20;"Dry Container";available;;
AYPU;324242;7;AYPU3242427;20;"Dry Container";available;;
AYPU;324531;8;AYPU3245318;20;"Dry Container";available;;
AYPU;324629;0;AYPU3246290;20;"Dry Container";available;;
AYPU;325570;6;AYPU3255706;20;"Dry Container";available;;
AYPU;327311;6;AYPU3273116;20;"Dry Container";available;;
AYPU;327635;7;AYPU3276357;20;"Dry Container";available;;
AYPU;328106;4;AYPU3281064;20;"Dry Container";available;;
AYPU;328743;1;AYPU3287431;20;"Dry Container";available;;
AYPU;329455;4;AYPU3294554;20;"Dry Container";available;;
AYPU;329499;7;AYPU3294997;20;"Dry Container";available;;
AYPU;330164;8;AYPU3301648;20;"Dry Container";available;;
AYPU;330283;4;AYPU3302834;20;"Dry Container";available;;
AYPU;330579;3;AYPU3305793;20;"Dry Container";available;;
AYPU;330691;1;AYPU3306911;20;"Dry Container";available;;
AYPU;330782;0;AYPU3307820;20;"Dry Container";available;;
AYPU;332846;0;AYPU3328460;20;"Dry Container";available;;
AYPU;334046;4;AYPU3340464;20;"Dry Container";available;;
AYPU;334799;0;AYPU3347990;20;"Dry Container";available;;
AYPU;334931;2;AYPU3349312;20;"Dry Container";available;;
AYPU;338033;1;AYPU3380331;20;"Dry Container";available;;
AYPU;338413;3;AYPU3384133;20;"Dry Container";available;;
AYPU;338581;8;AYPU3385818;20;"Dry Container";available;;
AYPU;339008;6;AYPU3390086;20;"Dry Container";available;;
AYPU;339247;4;AYPU3392474;20;"Dry Container";available;;
AYPU;341112;5;AYPU3411125;20;"Dry Container";available;;
AYPU;343928;1;AYPU3439281;20;"Dry Container";available;;
AYPU;344767;4;AYPU3447674;20;"Dry Container";available;;
AYPU;346348;5;AYPU3463485;20;"Dry Container";available;;
AYPU;346552;8;AYPU3465528;20;"Dry Container";available;;
AYPU;346714;6;AYPU3467146;20;"Dry Container";available;;
AYPU;346778;9;AYPU3467789;20;"Dry Container";available;;
AYPU;346824;5;AYPU3468245;20;"Dry Container";available;;
AYPU;347324;3;AYPU3473243;20;"Dry Container";available;;
AYPU;970356;1;AYPU9703561;20;"Dry Container";available;;"TUKER TAMBAH AYPU3500060"
AYPU;350790;6;AYPU3507906;20;"Dry Container";available;;
AYPU;354531;7;AYPU3545317;20;"Dry Container";available;;
AYPU;355015;8;AYPU3550158;20;"Dry Container";available;;
AYPU;356645;2;AYPU3566452;20;"Dry Container";available;;
AYPU;357633;0;AYPU3576330;20;"Dry Container";available;;
AYPU;357873;0;AYPU3578730;20;"Dry Container";available;;
AYPU;358043;0;AYPU3580430;20;"Dry Container";available;;
AYPU;358159;4;AYPU3581594;20;"Dry Container";available;;
AYPU;358459;3;AYPU3584593;20;"Dry Container";available;;
AYPU;361521;2;AYPU3615212;20;"Dry Container";available;;
AYPU;363858;9;AYPU3638589;20;"Dry Container";available;;
AYPU;364021;0;AYPU3640210;20;"Dry Container";available;;
AYPU;364301;6;AYPU3643016;20;"Dry Container";available;;
AYPU;364326;9;AYPU3643269;20;"Dry Container";available;;
AYPU;365310;2;AYPU3653102;20;"Dry Container";available;;
AYPU;365357;8;AYPU3653578;20;"Dry Container";available;;
AYPU;365529;3;AYPU3655293;20;"Dry Container";available;;
AYPU;365554;4;AYPU3655544;20;"Dry Container";available;;
AYPU;366233;5;AYPU3662335;20;"Dry Container";available;;
AYPU;366418;7;AYPU3664187;20;"Dry Container";available;;
AYPU;367665;5;AYPU3676655;20;"Dry Container";available;;
AYPU;367682;0;AYPU3676820;20;"Dry Container";available;;
AYPU;367693;2;AYPU3676932;20;"Dry Container";available;;
AYPU;368174;9;AYPU3681749;20;"Dry Container";available;;
AYPU;368447;6;AYPU3684476;20;"Dry Container";available;;
AYPU;368718;5;AYPU3687185;20;"Dry Container";available;;
AYPU;368817;3;AYPU3688173;20;"Dry Container";available;;
AYPU;369332;0;AYPU3693320;20;"Dry Container";available;;
AYPU;369387;9;AYPU3693879;20;"Dry Container";available;;
AYPU;369668;0;AYPU3696680;20;"Dry Container";available;;
AYPU;369877;0;AYPU3698770;20;"Dry Container";available;;
AYPU;370216;7;AYPU3702167;20;"Dry Container";available;;
AYPU;370455;5;AYPU3704555;20;"Dry Container";available;;
AYPU;370586;5;AYPU3705865;20;"Dry Container";available;;
AYPU;370723;5;AYPU3707235;20;"Dry Container";available;;
AYPU;370741;0;AYPU3707410;20;"Dry Container";available;;
AYPU;370949;1;AYPU3709491;20;"Dry Container";available;;
AYPU;371363;5;AYPU3713635;20;"Dry Container";available;;
AYPU;371491;2;AYPU3714912;20;"Dry Container";available;;
AYPU;371660;1;AYPU3716601;20;"Dry Container";available;;
AYPU;371684;9;AYPU3716849;20;"Dry Container";available;;
AYPU;371987;4;AYPU3719874;20;"Dry Container";available;;
AYPU;372009;3;AYPU3720093;20;"Dry Container";available;;
AYPU;372076;6;AYPU3720766;20;"Dry Container";available;;
AYPU;372245;5;AYPU3722455;20;"Dry Container";available;;
AYPU;372309;3;AYPU3723093;20;"Dry Container";available;;
AYPU;372960;9;AYPU3729609;20;"Dry Container";available;;
AYPU;373028;2;AYPU3730282;20;"Dry Container";available;;
AYPU;373081;7;AYPU3730817;20;"Dry Container";available;;
AYPU;373191;0;AYPU3731910;20;"Dry Container";available;;
AYPU;373231;6;AYPU3732316;20;"Dry Container";available;;
AYPU;373378;5;AYPU3733785;20;"Dry Container";available;;
AYPU;373598;3;AYPU3735983;20;"Dry Container";available;;
AYPU;373648;6;AYPU3736486;20;"Dry Container";available;;
AYPU;373761;0;AYPU3737610;20;"Dry Container";available;;
AYPU;373798;2;AYPU3737982;20;"Dry Container";available;;
AYPU;374246;8;AYPU3742468;20;"Dry Container";available;;
AYPU;374302;8;AYPU3743028;20;"Dry Container";available;;
AYPU;374524;0;AYPU3745240;20;"Dry Container";available;;
AYPU;374602;7;AYPU3746027;20;"Dry Container";available;;
AYPU;374643;7;AYPU3746437;20;"Dry Container";available;;
AYPU;374708;6;AYPU3747086;20;"Dry Container";available;;
AYPU;374730;0;AYPU3747300;20;"Dry Container";available;;
AYPU;374950;9;AYPU3749509;20;"Dry Container";available;;
AYPU;375436;6;AYPU3754366;20;"Dry Container";available;;
AYPU;375518;7;AYPU3755187;20;"Dry Container";available;;
AYPU;376312;9;AYPU3763129;20;"Dry Container";available;;
AYPU;376316;1;AYPU3763161;20;"Dry Container";available;;
AYPU;376652;7;AYPU3766527;20;"Dry Container";available;;
AYPU;376720;4;AYPU3767204;20;"Dry Container";available;;
AYPU;377439;5;AYPU3774395;20;"Dry Container";available;;
AYPU;377862;0;AYPU3778620;20;"Dry Container";available;;
AYPU;378115;1;AYPU3781151;20;"Dry Container";available;;
AYPU;378516;0;AYPU3785160;20;"Dry Container";available;;
AYPU;378546;5;AYPU3785465;20;"Dry Container";available;;
AYPU;378752;0;AYPU3787520;20;"Dry Container";available;;
AYPU;378958;7;AYPU3789587;20;"Dry Container";available;;
AYPU;379360;3;AYPU3793603;20;"Dry Container";available;;
AYPU;379712;7;AYPU3797127;20;"Dry Container";available;;
AYPU;381682;6;AYPU3816826;20;"Dry Container";available;;
AYPU;381803;9;AYPU3818039;20;"Dry Container";available;;
AYPU;381991;0;AYPU3819910;20;"Dry Container";available;;
AYPU;382268;3;AYPU3822683;20;"Dry Container";available;;
AYPU;382722;4;AYPU3827224;20;"Dry Container";available;;
AYPU;382981;5;AYPU3829815;20;"Dry Container";available;;
AYPU;383379;6;AYPU3833796;20;"Dry Container";available;;
AYPU;383599;3;AYPU3835993;20;"Dry Container";available;;
AYPU;384584;5;AYPU3845845;20;"Dry Container";available;;
AYPU;385433;8;AYPU3854338;20;"Dry Container";available;;
AYPU;385788;8;AYPU3857888;20;"Dry Container";available;;
AYPU;386203;5;AYPU3862035;20;"Dry Container";available;;
AYPU;386440;1;AYPU3864401;20;"Dry Container";available;;
AYPU;386845;4;AYPU3868454;20;"Dry Container";available;;
AYPU;387541;2;AYPU3875412;20;"Dry Container";available;;
AYPU;387627;6;AYPU3876276;20;"Dry Container";available;;
AYPU;387945;0;AYPU3879450;20;"Dry Container";available;;
AYPU;388920;5;AYPU3889205;20;"Dry Container";available;;
AYPU;389037;7;AYPU3890377;20;"Dry Container";available;;
AYPU;389726;3;AYPU3897263;20;"Dry Container";available;;
AYPU;389761;7;AYPU3897617;20;"Dry Container";available;;
AYPU;390282;1;AYPU3902821;20;"Dry Container";available;;
AYPU;390906;2;AYPU3909062;20;"Dry Container";available;;
AYPU;391897;8;AYPU3918978;20;"Dry Container";available;;
AYPU;393229;8;AYPU3932298;20;"Dry Container";available;;
AYPU;393363;2;AYPU3933632;20;"Dry Container";available;;
AYPU;393657;0;AYPU3936570;20;"Dry Container";available;;
AYPU;393865;5;AYPU3938655;20;"Dry Container";available;;
AYPU;393953;8;AYPU3939538;20;"Dry Container";available;;
AYPU;394003;5;AYPU3940035;20;"Dry Container";available;;
AYPU;394067;3;AYPU3940673;20;"Dry Container";available;;
AYPU;394098;7;AYPU3940987;20;"Dry Container";available;;
AYPU;394141;1;AYPU3941411;20;"Dry Container";available;;
AYPU;394181;2;AYPU3941812;20;"Dry Container";available;;
AYPU;394891;0;AYPU3948910;20;"Dry Container";available;;
AYPU;395161;5;AYPU3951615;20;"Dry Container";available;;
AYPU;396550;0;AYPU3965500;20;"Dry Container";available;;
AYPU;397805;4;AYPU3978054;20;"Dry Container";available;;
AYPU;400031;3;AYPU4000313;20;"Dry Container";available;;
AYPU;422071;8;AYPU4220718;20;"Dry Container";available;;
AYPU;424004;8;AYPU4240048;20;"Dry Container";available;;
AYPU;428742;4;AYPU4287424;20;"Dry Container";available;;
AYPU;454776;7;AYPU4547767;20;"Dry Container";available;;
AYPU;458781;0;AYPU4587810;40;"Dry Container";available;;
AYPU;478834;0;AYPU4788340;40;"Dry Container";available;;
AYPU;509262;6;AYPU5092626;40;"Dry Container";available;;
AYPU;521024;8;AYPU5210248;40;"Dry Container";available;;
AYPU;522433;9;AYPU5224339;40;"Dry Container";available;;
AYPU;523254;5;AYPU5232545;40;"Dry Container";available;;
AYPU;523524;6;AYPU5235246;40;"Dry Container";available;;
AYPU;524274;9;AYPU5242749;40;"Dry Container";available;;
AYPU;525969;6;AYPU5259696;40;"Dry Container";available;;
AYPU;532418;0;AYPU5324180;40;"Dry Container";available;;
AYPU;532831;2;AYPU5328312;40;"Dry Container";available;;
AYPU;533099;0;AYPU5330990;40;"Dry Container";available;;
AYPU;536670;8;AYPU5366708;20;"Dry Container";available;;
AYPU;540147;6;AYPU5401476;20;"Dry Container";available;;
AYPU;541064;7;AYPU5410647;20;"Dry Container";available;;
AYPU;545858;0;AYPU5458580;20;"Dry Container";available;;
AYPU;545955;0;AYPU5459550;20;"Dry Container";available;;
AYPU;547029;0;AYPU5470290;40;"Dry Container";available;;
AYPU;563257;6;AYPU5632576;40;"Dry Container";available;;
AYPU;563768;6;AYPU5637686;40;"Dry Container";available;;
AYPU;565488;9;AYPU5654889;40;"Dry Container";available;;
AYPU;566030;4;AYPU5660304;40;"Dry Container";available;;
AYPU;574508;4;AYPU5745084;40;"Dry Container";available;;
AYPU;574526;9;AYPU5745269;40;"Dry Container";available;;
AYPU;574911;4;AYPU5749114;40;"Dry Container";available;;
AYPU;574994;2;AYPU5749942;40;"Dry Container";available;;
AYPU;580580;9;AYPU5805809;40;"Dry Container";available;;
AYPU;581046;7;AYPU5810467;40;"Dry Container";available;;
AYPU;600016;7;AYPU6000167;20;"Dry Container";available;;
AYPU;600113;0;AYPU6001130;20;"Dry Container";available;;
AYPU;600154;3;AYPU6001543;20;"Dry Container";available;;
AYPU;600160;4;AYPU6001604;20;"Dry Container";available;;
AYPU;600605;7;AYPU6006057;20;"Dry Container";available;;
AYPU;600672;0;AYPU6006720;20;"Dry Container";available;;
AYPU;600712;0;AYPU6007120;20;"Dry Container";available;;
AYPU;600860;9;AYPU6008609;20;"Dry Container";available;;
AYPU;600865;6;AYPU6008656;20;"Dry Container";available;;
AYPU;600906;1;AYPU6009061;20;"Dry Container";available;;
AYPU;600910;1;AYPU6009101;20;"Dry Container";available;;
AYPU;600951;8;AYPU6009518;20;"Dry Container";available;;
AYPU;601236;3;AYPU6012363;20;"Dry Container";available;;
AYPU;602111;0;AYPU6021110;40;"Dry Container";available;;
AYPU;602281;8;AYPU6022818;20;"Dry Container";available;;
AYPU;602373;2;AYPU6023732;20;"Dry Container";available;;
AYPU;602562;7;AYPU6025627;20;"Dry Container";available;;
AYPU;602667;0;AYPU6026670;20;"Dry Container";available;;
AYPU;603051;5;AYPU6030515;20;"Dry Container";available;;
AYPU;603053;6;AYPU6030536;20;"Dry Container";available;;
AYPU;605616;9;AYPU6056169;20;"Dry Container";available;;
AYPU;614033;2;AYPU6140332;20;"Dry Container";available;;
AYPU;618369;5;AYPU6183695;20;"Dry Container";available;;
AYPU;620983;3;AYPU6209833;40;"Dry Container";available;;
AYPU;622317;1;AYPU6223171;40;"Dry Container";available;;
AYPU;628709;7;AYPU6287097;40;"Dry Container";available;;
AYPU;633417;0;AYPU6334170;20;"Dry Container";available;;
AYPU;633949;0;AYPU6339490;20;"Dry Container";available;;
AYPU;636009;5;AYPU6360095;40;"Dry Container";available;;
AYPU;636997;8;AYPU6369978;20;"Dry Container";available;;
AYPU;637126;3;AYPU6371263;20;"Dry Container";available;;
AYPU;638795;9;AYPU6387959;40;"Dry Container";available;;
AYPU;641558;5;AYPU6415585;20;"Dry Container";available;;
AYPU;560979;1;AYPU5609791;40;"Dry Container";available;;"TUKER TAMBAH AYPU6579627 "
AYPU;658173;2;AYPU6581732;40;"Dry Container";available;;
AYPU;666081;5;AYPU6660815;20;"Dry Container";available;;
AYPU;668421;0;AYPU6684210;20;"Dry Container";available;;
AYPU;673451;2;AYPU6734512;40;"Dry Container";available;;
AYPU;673899;2;AYPU6738992;40;"Dry Container";available;;
AYPU;675558;5;AYPU6755585;20;"Dry Container";available;;
AYPU;675836;6;AYPU6758366;40;"Dry Container";available;;
AYPU;706163;3;AYPU7061633;20;"Dry Container";available;;
AYPU;706381;0;AYPU7063810;20;"Dry Container";available;;
AYPU;030925;9;AYPU0309259;20;"Dry Container";available;;"TUKER TAMBAH AYPU7065444"
AYPU;706546;0;AYPU7065460;20;"Dry Container";available;;
AYPU;706579;4;AYPU7065794;20;"Dry Container";available;;
AYPU;706649;2;AYPU7066492;20;"Dry Container";available;;
AYPU;706779;7;AYPU7067797;20;"Dry Container";available;;
AYPU;706894;1;AYPU7068941;20;"Dry Container";available;;
AYPU;706985;0;AYPU7069850;20;"Dry Container";available;;
AYPU;707151;8;AYPU7071518;20;"Dry Container";available;;
AYPU;707292;0;AYPU7072920;20;"Dry Container";available;;
AYPU;788824;1;AYPU7888241;20;"Dry Container";available;;TUKER
AYPU;707485;7;AYPU7074857;20;"Dry Container";available;;
AYPU;707570;9;AYPU7075709;20;"Dry Container";available;;
AYPU;708324;2;AYPU7083242;20;"Dry Container";available;;
AYPU;708904;5;AYPU7089045;20;"Dry Container";available;;
AYPU;709238;9;AYPU7092389;20;"Dry Container";available;;
AYPU;709893;6;AYPU7098936;20;"Dry Container";available;;
AYPU;710215;2;AYPU7102152;20;"Dry Container";available;;
AYPU;711163;7;AYPU7111637;20;"Dry Container";available;;
AYPU;721643;2;AYPU7216432;20;"Dry Container";available;;
AYPU;729243;2;AYPU7292432;40;"Dry Container";available;;
AYPU;730040;0;AYPU7300400;20;"Dry Container";available;;
AYPU;732049;5;AYPU7320495;20;"Dry Container";available;;
AYPU;745565;4;AYPU7455654;20;"Dry Container";available;;
AYPU;746821;8;AYPU7468218;20;"Dry Container";available;;
AYPU;748834;8;AYPU7488348;20;"Dry Container";available;;
AYPU;748839;5;AYPU7488395;20;"Dry Container";available;;
AYPU;748876;0;AYPU7488760;20;"Dry Container";available;;
AYPU;748879;6;AYPU7488796;20;"Dry Container";available;;
AYPU;748890;2;AYPU7488902;20;"Dry Container";available;;
AYPU;749110;4;AYPU7491104;20;"Dry Container";available;;
AYPU;749209;7;AYPU7492097;20;"Dry Container";available;;
AYPU;749334;0;AYPU7493340;20;"Dry Container";available;;
AYPU;749351;3;AYPU7493513;20;"Dry Container";available;;
AYPU;749379;2;AYPU7493792;20;"Dry Container";available;;
AYPU;749386;5;AYPU7493865;20;"Dry Container";available;;
AYPU;749405;4;AYPU7494054;20;"Dry Container";available;;
AYPU;749509;6;AYPU7495096;20;"Dry Container";available;;
AYPU;749576;9;AYPU7495769;20;"Dry Container";available;;
AYPU;749742;1;AYPU7497421;20;"Dry Container";available;;
AYPU;749845;4;AYPU7498454;20;"Dry Container";available;;
AYPU;750066;0;AYPU7500660;20;"Dry Container";available;;
AYPU;750192;2;AYPU7501922;20;"Dry Container";available;;
AYPU;750432;0;AYPU7504320;20;"Dry Container";available;;
AYPU;751114;0;AYPU7511140;20;"Dry Container";available;;
AYPU;751138;7;AYPU7511387;20;"Dry Container";available;;
AYPU;751191;5;AYPU7511915;20;"Dry Container";available;;
AYPU;751355;9;AYPU7513559;20;"Dry Container";available;;
AYPU;751576;2;AYPU7515762;20;"Dry Container";available;;
AYPU;753142;0;AYPU7531420;20;"Dry Container";available;;
AYPU;756950;7;AYPU7569507;20;"Dry Container";available;;
AYPU;759496;3;AYPU7594963;20;"Dry Container";available;;
AYPU;759921;2;AYPU7599212;20;"Dry Container";available;;
AYPU;762846;4;AYPU7628464;20;"Dry Container";available;;
AYPU;765892;0;AYPU7658920;20;"Dry Container";available;;
AYPU;772027;5;AYPU7720275;20;"Dry Container";available;;
AYPU;778538;4;AYPU7785384;20;"Dry Container";available;;
AYPU;788620;7;AYPU7886207;20;"Dry Container";available;;
AYPU;790533;3;AYPU7905333;20;"Dry Container";available;;
AYPU;790940;5;AYPU7909405;20;"Dry Container";available;;
AYPU;792195;1;AYPU7921951;20;"Dry Container";available;;
AYPU;792487;9;AYPU7924879;20;"Dry Container";available;;
AYPU;794057;8;AYPU7940578;20;"Dry Container";available;;
AYPU;800456;0;AYPU8004560;20;"Dry Container";available;;
AYPU;803359;4;AYPU8033594;20;"Dry Container";available;;
AYPU;803400;8;AYPU8034008;20;"Dry Container";available;;
AYPU;803525;7;AYPU8035257;20;"Dry Container";available;;
AYPU;803902;0;AYPU8039020;20;"Dry Container";available;;
AYPU;820805;6;AYPU8208056;20;"Dry Container";available;;
AYPU;824232;3;AYPU8242323;40;"Dry Container";available;;
AYPU;825038;1;AYPU8250381;40;"Dry Container";available;;
AYPU;829100;8;AYPU8291008;20;"Dry Container";available;;
AYPU;833728;5;AYPU8337285;20;"Dry Container";available;;
AYPU;837255;8;AYPU8372558;20;"Dry Container";available;;
AYPU;837449;0;AYPU8374490;20;"Dry Container";available;;
AYPU;865453;5;AYPU8654535;40;"Dry Container";available;;
AYPU;880582;7;AYPU8805827;20;"Dry Container";available;;
AYPU;881963;5;AYPU8819635;20;"Dry Container";available;;
AYPU;882977;3;AYPU8829773;20;"Dry Container";available;;
AYPU;890104;0;AYPU8901040;20;"Dry Container";available;;
AYPU;893003;2;AYPU8930032;20;"Dry Container";available;;
AYPU;893599;6;AYPU8935996;20;"Dry Container";available;;
AYPU;894700;9;AYPU8947009;20;"Dry Container";available;;
AYPU;895576;6;AYPU8955766;20;"Dry Container";available;;
AYPU;904197;6;AYPU9041976;40;"Dry Container";available;;
AYPU;904981;1;AYPU9049811;40;"Dry Container";available;;
AYPU;909745;0;AYPU9097450;40;"Dry Container";available;;
AYPU;912245;6;AYPU9122456;40;"Dry Container";available;;
AYPU;921615;1;AYPU9216151;40;"Dry Container";available;;
AYPU;929871;4;AYPU9298714;40;"Dry Container";available;;
AYPU;930610;6;AYPU9306106;40;"Dry Container";available;;
AYPU;930992;9;AYPU9309929;20;"Dry Container";available;;
AYPU;939254;8;AYPU9392548;20;"Dry Container";available;;
AYPU;942582;0;AYPU9425820;40;"Dry Container";available;;
AYPU;943292;8;AYPU9432928;40;"Dry Container";available;;
AYPU;952683;8;AYPU9526838;40;"Dry Container";available;;
AYPU;966708;9;AYPU9667089;40;"Dry Container";available;;
AYPU;994264;1;AYPU9942641;40;"Dry Container";available;;
AYPU;031227;0;AYPU0312270;20;"Dry Container";available;;
