"vendor";"nomor_kontainer";"size";"group";"tanggal_awal";"tanggal_akhir";"periode";"masa";"tarif";"dpp";"dpp_nilai_lain";"ppn";"pph";"grand_total";"status";"computed_periode"
"DPE";"CBHU5914130";"20";"D003";"2025-01-23";"2025-05-26";"4";"23 april 2025 - 22 mei 2025";"Bulanan";"750000.00";"687500.00";"82500.00";"15000.00";"817500.00";"";"5"
"DPE";"CBHU5914130";"20";"D003";"2025-01-23";"2025-05-26";"5";"23 mei 2025 - 26 mei 2025";"Harian";"100000.00";"91666.67";"11000.00";"2000.00";"109000.00";"";"5"
"DPE";"CSLU1004045";"20";"D003";"2025-01-23";"2025-04-09";"1";"23 januari 2025 - 22 februari 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"3"
"DPE";"CSLU1004045";"20";"D003";"2025-01-23";"2025-04-09";"2";"23 februari 2025 - 22 maret 2025";"Bulanan";"700000.00";"641666.67";"77000.00";"14000.00";"763000.00";"";"3"
"DPE";"CSLU1004045";"20";"D003";"2025-01-23";"2025-04-09";"3";"23 maret 2025 - 9 april 2025";"Harian";"450000.00";"412500.00";"49500.00";"9000.00";"490500.00";"";"3"
"DPE";"CBHU5911444";"20";"D004";"2025-01-24";"";"1";"24 januari 2025 - 23 februari 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"8"
"DPE";"CBHU5911444";"20";"D004";"2025-01-24";"";"2";"24 februari 2025 - 23 maret 2025";"Bulanan";"700000.00";"641666.67";"77000.00";"14000.00";"763000.00";"";"8"
"DPE";"CBHU5911444";"20";"D004";"2025-01-24";"";"3";"24 maret 2025 - 23 april 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"8"
"DPE";"CBHU5911444";"20";"D004";"2025-01-24";"";"4";"24 april 2025 - 23 mei 2025";"Bulanan";"750000.00";"687500.00";"82500.00";"15000.00";"817500.00";"";"8"
"DPE";"CBHU5911444";"20";"D004";"2025-01-24";"";"5";"24 mei 2025 - 23 juni 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"8"
"DPE";"CBHU5911444";"20";"D004";"2025-01-24";"";"6";"24 juni 2025 - 23 juli 2025";"Bulanan";"750000.00";"687500.00";"82500.00";"15000.00";"817500.00";"";"8"
"DPE";"CBHU5911444";"20";"D004";"2025-01-24";"";"7";"24 juli 2025 - 23 agustus 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"8"
