vendor;nomor_kontainer;size;periode;masa;old_dpp;new_dpp;days_in_period;daily_rate
ZONA;MOTU0745549;20;4;22 april 2025 - 6 mei 2025;22522.00;337830.00;15;22522.00
ZONA;CCLU7119138;20;2;22 februari 2025 - 7 maret 2025;22522.00;315308.00;14;22522.00
ZONA;PCIU9358763;20;3;22 maret 2025 - 7 april 2025;22522.00;382874.00;17;22522.00
ZONA;CBHU5841917;20;5;23 mei 2025 - 24 mei 2025;22522.00;45044.00;2;22522.00
ZONA;EMCU6009872;20;3;23 maret 2025 - 8 april 2025;22522.00;382874.00;17;22522.00
ZONA;WHLU0352189;20;5;23 mei 2025 - 31 mei 2025;22522.00;202698.00;9;22522.00
ZONA;CAIU3184330;20;5;23 mei 2025 - 24 mei 2025;22522.00;45044.00;2;22522.00
ZONA;EMCU6063235;20;5;23 mei 2025 - 14 juni 2025;22522.00;518006.00;23;22522.00
ZONA;WHLU0300903;20;5;23 mei 2025 - 21 juni 2025;22522.00;675660.00;30;22522.00
ZONA;WFHU1240962;20;5;23 mei 2025 - 25 mei 2025;22522.00;67566.00;3;22522.00
ZONA;WHLU0268015;20;5;23 mei 2025 - 3 juni 2025;22522.00;270264.00;12;22522.00
ZONA;EMCU6045503;20;3;23 maret 2025 - 7 april 2025;22522.00;360352.00;16;22522.00
ZONA;EISU3944703;20;5;23 mei 2025 - 14 juni 2025;22522.00;518006.00;23;22522.00
ZONA;EMCU6006826;20;3;23 maret 2025 - 8 april 2025;22522.00;382874.00;17;22522.00
ZONA;WHLU0273177;20;3;23 maret 2025 - 7 april 2025;22522.00;360352.00;16;22522.00
ZONA;WHLU0215910;20;6;23 juni 2025 - 7 juli 2025;22522.00;337830.00;15;22522.00
ZONA;EGSU3109943;20;5;23 mei 2025 - 17 juni 2025;22522.00;585572.00;26;22522.00
ZONA;BMOU2474612;20;6;23 juni 2025 - 2 juli 2025;22522.00;225220.00;10;22522.00
ZONA;WHLU0330050;20;3;23 maret 2025 - 7 april 2025;22522.00;360352.00;16;22522.00
ZONA;BSIU2946381;20;6;23 juni 2025 - 17 juli 2025;22522.00;563050.00;25;22522.00
ZONA;EISU2194517;20;5;23 mei 2025 - 13 juni 2025;22522.00;495484.00;22;22522.00
ZONA;EISU2254616;20;5;23 mei 2025 - 1 juni 2025;22522.00;225220.00;10;22522.00
ZONA;BMOU2383868;20;3;24 maret 2025 - 7 april 2025;22522.00;337830.00;15;22522.00
ZONA;EMCU6038844;20;6;24 juni 2025 - 21 juli 2025;22522.00;630616.00;28;22522.00
ZONA;ZONA2207201;20;4;24 april 2025 - 20 mei 2025;22522.00;608094.00;27;22522.00
ZONA;BMOU2470200;20;3;24 maret 2025 - 8 april 2025;22522.00;360352.00;16;22522.00
ZONA;GVCU2190099;20;6;24 juni 2025 - 9 juli 2025;22522.00;360352.00;16;22522.00
ZONA;ZONA2211855;20;3;24 maret 2025 - 7 april 2025;22522.00;337830.00;15;22522.00
ZONA;HMCU3062032;20;3;24 maret 2025 - 8 april 2025;22522.00;360352.00;16;22522.00
ZONA;TGHU3814501;20;3;24 maret 2025 - 8 april 2025;22522.00;360352.00;16;22522.00
ZONA;TGHU1518584;20;5;24 mei 2025 - 25 mei 2025;22522.00;45044.00;2;22522.00
ZONA;ZONA2938308;20;4;25 april 2025 - 23 mei 2025;22522.00;653138.00;29;22522.00
ZONA;ZONA2218192;20;5;25 mei 2025 - 25 mei 2025;22522.00;22522.00;1;22522.00
ZONA;ZONA6950241;20;3;25 maret 2025 - 7 april 2025;22522.00;315308.00;14;22522.00
ZONA;WHLU0359120;20;3;23 maret 2025 - 7 april 2025;22522.00;360352.00;16;22522.00
ZONA;CAIU8171172;20;3;24 maret 2025 - 7 april 2025;22522.00;337830.00;15;22522.00
ZONA;OOLU1585181;20;4;13 mei 2025 - 4 juni 2025;22522.00;518006.00;23;22522.00
ZONA;OOLU1192163;20;5;13 juni 2025 - 20 juni 2025;22522.00;180176.00;8;22522.00
ZONA;ECMU1819649;20;5;13 juni 2025 - 9 juli 2025;22522.00;608094.00;27;22522.00
ZONA;DFSU6225950;40;6;20 juli 2025 - 25 juli 2025;42042.00;252252.00;6;42042.00
ZONA;KKFU7120388;40;6;21 juli 2025 - 25 juli 2025;42042.00;210210.00;5;42042.00
ZONA;MEDU8269787;40;5;20 juni 2025 - 1 juli 2025;42042.00;504504.00;12;42042.00
ZONA;PKEU5033970;40;4;22 mei 2025 - 20 juni 2025;42042.00;1261260.00;30;42042.00
ZONA;MSCU9903797;40;5;24 juni 2025 - 1 juli 2025;42042.00;336336.00;8;42042.00
ZONA;INKU6744298;40;4;25 mei 2025 - 23 juni 2025;42042.00;1261260.00;30;42042.00
ZONA;GATU8503607;40;5;28 juni 2025 - 23 juli 2025;42042.00;1093092.00;26;42042.00
ZONA;CMAU5070113;40;5;1 juli 2025 - 25 juli 2025;42042.00;1051050.00;25;42042.00
ZONA;CAXU9096769;40;4;10 juni 2025 - 25 juni 2025;42042.00;672672.00;16;42042.00
ZONA;IFLU2990380;20;3;11 mei 2025 - 26 mei 2025;22522.00;360352.00;16;22522.00
ZONA;FORU8416289;20;3;11 mei 2025 - 3 juni 2025;22522.00;540528.00;24;22522.00
ZONA;MSKU2218091;20;4;11 juni 2025 - 1 juli 2025;22522.00;472962.00;21;22522.00
ZONA;TTNU3216943;20;4;11 juni 2025 - 17 juni 2025;22522.00;157654.00;7;22522.00
ZONA;FORU8480890;20;3;11 mei 2025 - 1 juni 2025;22522.00;495484.00;22;22522.00
ZONA;FORU8487209;20;5;12 juli 2025 - 16 juli 2025;22522.00;112610.00;5;22522.00
ZONA;GLDU9368735;20;3;12 mei 2025 - 28 mei 2025;22522.00;382874.00;17;22522.00
ZONA;CRXU3112086;20;3;12 mei 2025 - 2 juni 2025;22522.00;495484.00;22;22522.00
ZONA;EMCU6089440;20;3;12 mei 2025 - 31 mei 2025;22522.00;450440.00;20;22522.00
ZONA;TEMU2703522;20;5;12 juli 2025 - 17 juli 2025;22522.00;135132.00;6;22522.00
ZONA;TGHU3350078;20;5;12 juli 2025 - 16 juli 2025;22522.00;112610.00;5;22522.00
ZONA;GESU3057370;20;3;12 mei 2025 - 24 mei 2025;22522.00;292786.00;13;22522.00
ZONA;BMOU2484919;20;3;12 mei 2025 - 25 mei 2025;22522.00;315308.00;14;22522.00
ZONA;GLDU5758437;20;4;12 juni 2025 - 7 juli 2025;22522.00;585572.00;26;22522.00
ZONA;PONU0231767;20;3;12 mei 2025 - 25 mei 2025;22522.00;315308.00;14;22522.00
ZONA;MSCU7196740;40;5;12 juli 2025 - 23 juli 2025;42042.00;504504.00;12;42042.00
ZONA;BMOU4402838;40;5;13 juli 2025 - 23 juli 2025;42042.00;462462.00;11;42042.00
ZONA;CAXU8184119;40;5;14 juli 2025 - 22 juli 2025;42042.00;378378.00;9;42042.00
ZONA;CCLU6777900;40;4;15 juni 2025 - 23 juni 2025;42042.00;378378.00;9;42042.00
ZONA;MEDU8384327;40;5;16 juli 2025 - 23 juli 2025;42042.00;336336.00;8;42042.00
ZONA;MEDU8246035;40;4;18 juni 2025 - 24 juni 2025;42042.00;294294.00;7;42042.00
ZONA;TEMU2815815;20;3;19 mei 2025 - 1 juni 2025;22522.00;315308.00;14;22522.00
ZONA;CCLU3996437;20;3;19 mei 2025 - 4 juni 2025;22522.00;382874.00;17;22522.00
ZONA;TGHU1845843;20;3;19 mei 2025 - 7 juni 2025;22522.00;450440.00;20;22522.00
ZONA;KDCU2166612;20;4;20 juni 2025 - 21 juni 2025;22522.00;45044.00;2;22522.00
ZONA;KDCU2170675;20;4;20 juni 2025 - 7 juli 2025;22522.00;405396.00;18;22522.00
ZONA;KCSU2166361;20;3;20 mei 2025 - 3 juni 2025;22522.00;337830.00;15;22522.00
ZONA;TGHU1501998;20;3;20 mei 2025 - 25 mei 2025;22522.00;135132.00;6;22522.00
ZONA;KDCU2170612;20;5;20 juli 2025 - 20 juli 2025;22522.00;22522.00;1;22522.00
ZONA;TEMU2694966;20;3;20 mei 2025 - 16 juni 2025;22522.00;630616.00;28;22522.00
ZONA;TEMU3028774;20;3;20 mei 2025 - 4 juni 2025;22522.00;360352.00;16;22522.00
ZONA;TEMU2817361;20;3;20 mei 2025 - 1 juni 2025;22522.00;292786.00;13;22522.00
ZONA;CXDU1244424;20;3;20 mei 2025 - 3 juni 2025;22522.00;337830.00;15;22522.00
ZONA;KDCU2171202;20;3;20 mei 2025 - 2 juni 2025;22522.00;315308.00;14;22522.00
ZONA;KDCU2171964;20;3;20 mei 2025 - 3 juni 2025;22522.00;337830.00;15;22522.00
ZONA;ZONA2213295;20;3;20 mei 2025 - 20 mei 2025;22522.00;22522.00;1;22522.00
ZONA;TRLU9657185;20;3;21 mei 2025 - 26 mei 2025;22522.00;135132.00;6;22522.00
ZONA;TEMU2697796;20;3;21 mei 2025 - 24 mei 2025;22522.00;90088.00;4;22522.00
ZONA;TEMU2326692;20;3;21 mei 2025 - 4 juni 2025;22522.00;337830.00;15;22522.00
ZONA;TEMU2254720;20;4;21 juni 2025 - 7 juli 2025;22522.00;382874.00;17;22522.00
ZONA;KDCU2172256;20;3;21 mei 2025 - 2 juni 2025;22522.00;292786.00;13;22522.00
ZONA;TEMU3000416;20;3;21 mei 2025 - 2 juni 2025;22522.00;292786.00;13;22522.00
ZONA;AXIU8464299;20;3;21 mei 2025 - 4 juni 2025;22522.00;337830.00;15;22522.00
ZONA;KDCU2171162;20;3;21 mei 2025 - 7 juni 2025;22522.00;405396.00;18;22522.00
ZONA;GLDU7620051;40;5;21 juli 2025 - 26 juli 2025;42042.00;252252.00;6;42042.00
ZONA;XINU1088532;20;2;21 mei 2025 - 19 juni 2025;22522.00;675660.00;30;22522.00
ZONA;TEMU2108730;20;2;21 mei 2025 - 12 juni 2025;22522.00;518006.00;23;22522.00
ZONA;SEGU2878170;20;2;21 mei 2025 - 12 juni 2025;22522.00;518006.00;23;22522.00
ZONA;CRXU2132025;20;4;21 juli 2025 - 21 juli 2025;22522.00;22522.00;1;22522.00
ZONA;GESU1145322;20;2;21 mei 2025 - 2 juni 2025;22522.00;292786.00;13;22522.00
ZONA;TGHU0636290;20;3;21 juni 2025 - 1 juli 2025;22522.00;247742.00;11;22522.00
ZONA;CXDU1436704;20;3;21 juni 2025 - 16 juli 2025;22522.00;585572.00;26;22522.00
ZONA;HMCU3062032;20;3;21 juni 2025 - 4 juli 2025;22522.00;315308.00;14;22522.00
ZONA;AMFU3170513;20;2;21 mei 2025 - 19 juni 2025;22522.00;675660.00;30;22522.00
ZONA;CSLU1034060;20;3;21 juni 2025 - 17 juli 2025;22522.00;608094.00;27;22522.00
ZONA;APZU3907870;20;2;21 mei 2025 - 1 juni 2025;22522.00;270264.00;12;22522.00
ZONA;WHLU0343593;20;2;21 mei 2025 - 31 mei 2025;22522.00;247742.00;11;22522.00
ZONA;OOLU1340682;20;2;21 mei 2025 - 31 mei 2025;22522.00;247742.00;11;22522.00
ZONA;WHLU0322899;20;3;21 juni 2025 - 21 juni 2025;22522.00;22522.00;1;22522.00
ZONA;EMCU6009872;20;2;22 mei 2025 - 12 juni 2025;22522.00;495484.00;22;22522.00
ZONA;OOLU1408611;20;2;22 mei 2025 - 14 juni 2025;22522.00;540528.00;24;22522.00
ZONA;OOLU1711021;20;3;22 juni 2025 - 9 juli 2025;22522.00;405396.00;18;22522.00
ZONA;OOLU1629952;20;2;22 mei 2025 - 13 juni 2025;22522.00;518006.00;23;22522.00
ZONA;OOLU1163740;20;3;22 juni 2025 - 7 juli 2025;22522.00;360352.00;16;22522.00
ZONA;IPXU3338970;20;2;22 mei 2025 - 1 juni 2025;22522.00;247742.00;11;22522.00
ZONA;OOLU1612414;20;3;22 juni 2025 - 5 juli 2025;22522.00;315308.00;14;22522.00
ZONA;OOLU1489022;20;2;22 mei 2025 - 17 juni 2025;22522.00;608094.00;27;22522.00
ZONA;SEGU1414719;20;3;22 juni 2025 - 4 juli 2025;22522.00;292786.00;13;22522.00
ZONA;EISU3954039;20;4;21 juli 2025 - 21 juli 2025;22522.00;22522.00;1;22522.00
ZONA;TGHU3117301;20;5;22 agustus 2025 - 7 september 2025;22522.00;382874.00;17;22522.00
ZONA;EISU3999218;20;2;22 mei 2025 - 31 mei 2025;22522.00;225220.00;10;22522.00
ZONA;XINU1520013;20;2;22 mei 2025 - 31 mei 2025;22522.00;225220.00;10;22522.00
ZONA;GLDU9708500;20;2;22 mei 2025 - 31 mei 2025;22522.00;225220.00;10;22522.00
ZONA;CAIU2744385;20;2;22 mei 2025 - 16 juni 2025;22522.00;585572.00;26;22522.00
ZONA;OOLU1576493;20;2;22 mei 2025 - 17 juni 2025;22522.00;608094.00;27;22522.00
ZONA;TAHU9033273;20;3;22 juni 2025 - 1 juli 2025;22522.00;225220.00;10;22522.00
ZONA;TEMU2733511;20;3;22 juni 2025 - 5 juli 2025;22522.00;315308.00;14;22522.00
ZONA;TEMU5086018;20;2;23 mei 2025 - 4 juni 2025;22522.00;292786.00;13;22522.00
ZONA;TRLU8986930;20;2;23 mei 2025 - 30 mei 2025;22522.00;180176.00;8;22522.00
ZONA;WHLU0273177;20;3;23 juni 2025 - 9 juli 2025;22522.00;382874.00;17;22522.00
ZONA;WHLU0249308;20;2;23 mei 2025 - 21 juni 2025;22522.00;675660.00;30;22522.00
ZONA;TGHU0387181;20;2;23 mei 2025 - 18 juni 2025;22522.00;608094.00;27;22522.00
ZONA;HCIU2104496;20;2;23 mei 2025 - 13 juni 2025;22522.00;495484.00;22;22522.00
ZONA;GESU1415053;20;2;23 mei 2025 - 31 mei 2025;22522.00;202698.00;9;22522.00
ZONA;GESU1426103;20;2;23 mei 2025 - 31 mei 2025;22522.00;202698.00;9;22522.00
ZONA;TGHU3827108;20;2;23 mei 2025 - 17 juni 2025;22522.00;585572.00;26;22522.00
ZONA;EMCU6006826;20;2;23 mei 2025 - 13 juni 2025;22522.00;495484.00;22;22522.00
ZONA;SEGU1410375;20;2;23 mei 2025 - 19 juni 2025;22522.00;630616.00;28;22522.00
ZONA;CLHU3602235;20;3;23 juni 2025 - 16 juli 2025;22522.00;540528.00;24;22522.00
ZONA;OOLU1539437;20;3;23 juni 2025 - 4 juli 2025;22522.00;270264.00;12;22522.00
ZONA;OOLU1412308;20;2;23 mei 2025 - 20 juni 2025;22522.00;653138.00;29;22522.00
ZONA;OOLU1694351;20;2;23 mei 2025 - 21 juni 2025;22522.00;675660.00;30;22522.00
ZONA;WHLU0201602;20;3;23 juni 2025 - 20 juli 2025;22522.00;630616.00;28;22522.00
ZONA;CXDU1285742;20;2;23 mei 2025 - 19 juni 2025;22522.00;630616.00;28;22522.00
ZONA;CLHU3586854;20;3;23 juni 2025 - 17 juli 2025;22522.00;563050.00;25;22522.00
ZONA;CRXU1091493;20;2;23 mei 2025 - 17 juni 2025;22522.00;585572.00;26;22522.00
ZONA;OOLU1453272;20;2;23 mei 2025 - 31 mei 2025;22522.00;202698.00;9;22522.00
ZONA;DRYU2524550;20;2;23 mei 2025 - 21 juni 2025;22522.00;675660.00;30;22522.00
ZONA;TGHU3222626;20;2;24 mei 2025 - 21 juni 2025;22522.00;653138.00;29;22522.00
ZONA;CRXU3034044;20;2;24 mei 2025 - 13 juni 2025;22522.00;472962.00;21;22522.00
ZONA;OOLU1375333;20;3;23 juni 2025 - 4 juli 2025;22522.00;270264.00;12;22522.00
ZONA;UESU2449004;20;3;23 juni 2025 - 5 juli 2025;22522.00;292786.00;13;22522.00
